raw21,omega_pll,Iq_ref,dbg_iq_a
294365.000000,297.189575,0.573771,0.650119
246383.000000,298.557861,0.573771,0.601146
194233.000000,299.546692,0.350065,0.403258
138294.000000,300.967743,0.350065,0.422204
83426.000000,300.570190,0.273930,0.173032
32277.000000,300.807404,0.273930,0.200845
2081029.000000,299.868408,0.310776,0.107223
2031767.000000,300.413788,0.310776,0.300021
1979898.000000,300.432709,0.235696,0.009695
1928546.000000,301.294617,0.235696,0.182847
1879846.000000,301.599213,0.144864,0.152217
1833453.000000,302.323517,0.144864,0.126659
1787694.000000,301.326660,0.133344,0.079510
1739295.000000,301.681122,0.133344,0.089925
1688588.000000,300.553131,0.171870,0.341228
1636964.000000,299.890472,0.171870,0.116145
1584864.000000,298.194977,0.433699,0.116829
1533780.000000,298.384277,0.433699,0.449088
1482266.000000,297.812317,0.539136,0.440054
1431131.000000,298.602386,0.539136,0.556877
1382634.000000,297.877594,0.532591,0.332762
1335994.000000,298.330811,0.532591,0.485312
1287372.000000,298.712494,0.439422,0.413545
1234701.000000,300.478882,0.439422,0.485552
1179285.000000,300.454315,0.282731,0.493427
1125106.000000,301.260071,0.282731,0.516656
1075024.000000,300.501160,0.242270,0.206217
1026747.000000,301.369659,0.242270,0.211610
977864.000000,300.232178,0.295561,0.326955
926375.000000,300.957123,0.295561,0.269245
875620.000000,300.411163,0.266135,0.234210
827275.000000,301.972992,0.266135,0.227783
781624.000000,301.330505,0.199091,0.474221
736121.000000,301.409515,0.199091,0.133371
688803.000000,301.151459,0.239642,0.173601
638586.000000,301.522034,0.239642,0.191840
587441.000000,299.894806,0.291254,0.270889
536047.000000,299.447418,0.291254,0.265977
485112.000000,298.507843,0.500522,0.619448
433275.000000,299.032410,0.500522,0.437359
381174.000000,299.114441,0.521660,0.429670
333243.000000,299.101501,0.521660,0.526847
286969.000000,298.422150,0.562443,0.608940
238937.000000,299.532990,0.562443,0.595940
186427.000000,299.719086,0.358917,0.626366
130268.000000,300.730743,0.358917,0.414252
75492.000000,300.780518,0.309611,0.331007
24480.000000,301.265839,0.309611,0.271238
2073153.000000,300.244354,0.356419,0.384926
2023483.000000,301.261902,0.356419,0.371183
1971522.000000,301.785370,0.180701,0.346411
1920808.000000,302.501465,0.180701,0.191431
1872397.000000,303.151154,0.017159,0.162721
1825969.000000,303.459167,0.017159,0.182310
1779325.000000,302.976044,0.107340,0.063878
1730087.000000,302.301086,0.107340,-0.127149
1679329.000000,301.142029,0.257269,-0.041600
1627858.000000,300.132385,0.257269,0.212091
1576084.000000,299.519531,0.391463,0.247116
1525115.000000,299.073608,0.391463,0.070197
1473163.000000,299.065430,0.501096,0.476278
1422065.000000,299.055328,0.501096,0.452781
1373489.000000,299.046448,0.520507,0.476326
1326632.000000,299.273315,0.520507,0.482170
1277893.000000,299.784149,0.453103,0.346139
1225060.000000,300.529907,0.453103,0.518248
1169673.000000,301.229095,0.282837,0.502245
1115940.000000,301.391144,0.282837,0.360018
1065801.000000,301.759735,0.245229,0.292499
1017185.000000,301.639038,0.245229,0.294045
967591.000000,302.089233,0.214593,0.162156
915590.000000,302.166229,0.214593,0.120238
866071.000000,302.510345,0.148927,0.262263
818621.000000,302.429047,0.148927,0.271769
773129.000000,302.241699,0.102031,0.281026
726773.000000,301.699493,0.102031,0.185726
678266.000000,302.201141,0.148834,-0.022030
627565.000000,300.869812,0.148834,0.094975
576932.000000,300.054626,0.370594,0.236642
526337.000000,298.279877,0.370594,0.206495
475634.000000,298.496307,0.530488,0.421872
423802.000000,298.340607,0.530488,0.508902
371401.000000,299.416687,0.428650,0.160489
323494.000000,299.088623,0.428650,0.677272
276898.000000,299.788483,0.485883,0.508577
228554.000000,299.825256,0.485883,0.526483
175899.000000,300.445374,0.409809,0.454617
120051.000000,300.278229,0.409809,0.519046
65951.000000,301.120056,0.260687,0.308247
15173.000000,300.601715,0.260687,0.385661
2063187.000000,301.351746,0.287481,0.246490
2012850.000000,301.477142,0.287481,0.444764
1961144.000000,302.548584,0.170601,0.301979
1911510.000000,302.146332,0.170601,0.280173
1864094.000000,302.845947,0.031856,0.059666
1818046.000000,302.443756,0.031856,0.162244
1770503.000000,303.414490,0.012705,0.029050
1720239.000000,302.437927,0.012705,0.195020
1669011.000000,301.896698,0.174099,0.000553
1617815.000000,299.707245,0.174099,0.152719
1567025.000000,298.733765,0.450601,0.177498
1516512.000000,297.796387,0.450601,0.497109
1464461.000000,298.732422,0.493294,0.407053
1413837.000000,297.932037,0.493294,0.525234
1365148.000000,298.908600,0.504138,0.473905
1317889.000000,298.820801,0.504138,0.533160
1268623.000000,300.455505,0.449676,0.131595
1216029.000000,299.781403,0.449676,0.402660
