raw21,omega_pll,Iq_ref,dbg_iq_a
1045579.000000,20.294151,0.172225,0.150135
1042336.000000,20.112940,0.172225,0.146889
1039066.000000,20.108486,0.172514,0.275431
1035843.000000,19.902836,0.172514,0.021784
1032631.000000,19.663162,0.176146,0.061849
1029247.000000,19.925335,0.176146,0.088200
1026033.000000,19.532663,0.176158,0.104180
1022915.000000,18.748100,0.176158,0.128232
1019835.000000,18.281384,0.189008,0.100625
1016879.000000,17.642939,0.189008,0.159438
1013968.000000,17.282257,0.199714,0.201980
1011125.000000,17.016825,0.199714,0.209246
1008203.000000,17.291080,0.203244,0.202338
1005456.000000,17.128492,0.203244,0.208878
1002727.000000,17.000629,0.204078,0.185046
1000097.000000,16.661097,0.204078,0.292065
997387.000000,16.752197,0.207087,0.203131
994723.000000,16.671698,0.207087,0.137253
991973.000000,16.864256,0.208236,0.324645
989221.000000,16.856531,0.208236,0.311485
986208.000000,17.663239,0.201393,0.310961
983120.000000,18.365747,0.201393,0.087548
979988.000000,18.811962,0.190349,0.220747
976714.000000,19.349691,0.190349,0.285535
973328.000000,19.849424,0.177485,0.298550
969893.000000,20.102358,0.177485,0.062944
966504.000000,20.075157,0.173485,0.010612
963111.000000,19.908173,0.173485,0.156512
959743.000000,19.665802,0.175153,0.341754
956408.000000,19.355148,0.175153,0.232553
953161.000000,19.063992,0.180693,0.117175
949978.000000,18.759357,0.180693,0.217891
946697.000000,18.960342,0.183243,0.012194
943550.000000,18.962818,0.183243,0.441105
940229.000000,19.605740,0.181672,0.397276
936739.000000,20.507814,0.181672,0.166917
933021.000000,21.762548,0.164207,0.052053
929303.000000,22.221283,0.164207,0.141519
925515.000000,22.276661,0.153081,0.190266
921534.000000,22.363518,0.153081,-0.062015
917500.000000,22.595152,0.150705,0.173089
913667.000000,22.008272,0.150705,0.220574
909856.000000,21.755674,0.156058,0.135828
906094.000000,21.711666,0.156058,0.278071
902490.000000,21.403725,0.158223,0.247676
898920.000000,21.105631,0.158223,0.286536
895458.000000,20.802906,0.164249,0.116736
892065.000000,20.517319,0.164249,0.150317
888678.000000,20.467894,0.169295,0.014529
885351.000000,20.425714,0.169295,0.155591
882049.000000,20.581310,0.168947,0.180680
878739.000000,20.942930,0.168947,0.240686
875383.000000,21.488068,0.162839,0.245736
871989.000000,21.899281,0.162839,0.184246
868462.000000,22.457565,0.149804,0.227715
865000.000000,22.557064,0.149804,0.233966
861520.000000,22.353672,0.149139,0.214799
858022.000000,21.885574,0.149139,0.204535
854505.000000,21.385212,0.157539,0.185810
851007.000000,20.894068,0.157539,0.187046
847587.000000,20.245205,0.167384,0.057133
844196.000000,19.960157,0.167384,0.175541
840934.000000,19.783157,0.174764,0.164464
837784.000000,19.630440,0.174764,0.151124
834745.000000,19.498985,0.177369,0.054646
831774.000000,19.508886,0.177369,0.099509
828929.000000,19.342768,0.179284,0.006780
826160.000000,19.002737,0.179284,0.216606
823442.000000,18.644836,0.185261,0.149010
820579.000000,19.166309,0.185261,0.067831
817815.000000,19.154770,0.182039,0.137875
814971.000000,19.343708,0.182039,0.319959
811983.000000,19.878304,0.179174,0.187607
808920.000000,20.264648,0.179174,0.048881
805935.000000,19.932911,0.172528,0.229141
802800.000000,19.918114,0.172528,0.356622
799691.000000,19.575348,0.176650,0.279813
796595.000000,19.259262,0.176650,0.172151
793580.000000,18.684568,0.182824,0.139895
790609.000000,18.477289,0.182824,0.168940
787716.000000,18.441616,0.189715,0.217385
