omega_ref,omega_pll,Iq_ref,Iq_meas
199.996185,200.215912,0.102298,0.139337
199.996185,201.012146,0.102298,0.004649
199.996185,199.242279,0.263647,-0.117015
199.996185,198.773148,0.263647,0.422615
199.996185,199.082733,0.299397,0.143809
199.996185,198.687576,0.299397,0.298176
199.996185,198.702209,0.328700,0.371006
199.996185,199.244781,0.328700,0.250027
199.996185,199.517349,0.267489,0.356255
199.996185,198.871445,0.267489,0.547368
199.996185,200.192368,0.172512,0.171225
199.996185,199.281174,0.172512,0.479941
199.996185,199.684113,0.194101,0.215834
199.996185,200.462280,0.194101,0.152804
199.996185,199.894318,0.205061,0.198273
199.996185,200.140930,0.205061,0.246521
199.996185,200.177795,0.160488,0.121605
199.996185,200.373520,0.160488,0.296711
199.996185,199.988815,0.189257,-0.016704
199.996185,199.858368,0.189257,0.087052
199.996185,199.531342,0.301854,0.100674
199.996185,199.229935,0.301854,0.311002
199.996185,200.254044,0.195874,0.186762
199.996185,199.713196,0.195874,0.246169
199.996185,200.173874,0.165218,0.238668
199.996185,200.420761,0.165218,0.102844
199.996185,200.587875,0.138091,0.153095
199.996185,200.064880,0.138091,-0.084644
199.996185,200.236465,0.164153,0.134962
199.996185,200.062912,0.164153,0.127494
199.996185,199.619888,0.214783,0.222012
199.996185,201.348541,0.214783,0.156355
199.996185,199.976517,0.198827,0.208912
199.996185,199.852173,0.198827,0.180228
199.996185,199.887970,0.228915,0.199185
199.996185,198.758957,0.228915,0.196694
199.996185,198.625580,0.349788,0.341917
199.996185,198.711365,0.349788,0.219277
199.996185,198.947723,0.328345,0.363509
199.996185,198.472473,0.328345,0.328281
199.996185,199.129303,0.301084,0.243835
199.996185,199.186493,0.301084,0.363941
199.996185,198.600769,0.334116,0.370998
199.996185,200.397629,0.334116,0.212555
199.996185,199.313171,0.347046,0.399959
199.996185,200.425079,0.347046,0.380170
199.996185,201.019104,0.143482,0.083112
199.996185,201.011932,0.143482,0.219591
199.996185,200.728821,0.132490,0.103511
199.996185,201.074753,0.132490,0.119249
199.996185,200.998215,0.128135,0.112992
199.996185,200.137741,0.128135,0.140865
199.996185,201.355225,0.066184,0.072971
199.996185,200.875107,0.066184,0.076035
199.996185,200.687149,0.095776,0.077608
199.996185,201.891373,0.095776,-0.011380
199.996185,200.613220,0.132323,0.320803
199.996185,201.120285,0.132323,0.173702
199.996185,200.756439,0.108595,0.067952
199.996185,200.847214,0.108595,0.123195
199.996185,200.532425,0.129760,0.162257
199.996185,201.066879,0.129760,0.099035
199.996185,201.305664,0.087790,0.092854
199.996185,200.287506,0.087790,0.257698
199.996185,201.413177,0.006689,0.032821
199.996185,199.825882,0.006689,-0.038263
199.996185,199.026291,0.237189,0.068608
199.996185,199.120926,0.237189,0.115655
199.996185,198.609726,0.311413,0.280169
199.996185,198.536285,0.311413,0.316231
199.996185,199.084961,0.280154,0.220692
199.996185,198.930969,0.280154,0.364420
199.996185,198.276733,0.358639,0.334556
199.996185,199.525131,0.358639,0.540365
199.996185,199.209702,0.330302,0.391700
199.996185,199.219543,0.330302,0.369737
199.996185,200.859528,0.111300,0.201904
199.996185,199.890289,0.111300,0.284564
199.996185,200.089249,0.156361,0.234316
199.996185,200.260818,0.156361,0.095697
199.996185,200.265717,0.146449,0.065637
199.996185,199.931641,0.146449,0.128442
199.996185,200.298050,0.124560,0.207389
199.996185,199.732880,0.124560,0.157156
199.996185,199.011108,0.259964,0.216157
199.996185,200.145676,0.259964,0.173902
199.996185,199.657150,0.253138,0.257121
199.996185,199.774399,0.253138,0.317152
199.996185,200.085800,0.162515,0.157873
199.996185,200.280197,0.162515,0.259649
199.996185,199.923340,0.185586,0.235158
199.996185,199.899963,0.185586,0.314910
199.996185,200.013092,0.199302,0.249597
199.996185,198.895065,0.199302,0.264378
199.996185,200.451447,0.123270,0.158123
199.996185,199.229736,0.123270,0.172540
199.996185,198.802277,0.266355,0.287826
199.996185,199.045135,0.266355,0.158089
199.996185,198.610001,0.335083,0.382296
199.996185,198.452454,0.335083,0.264529
199.996185,198.621796,0.347507,0.059397
199.996185,199.126129,0.347507,0.437777
199.996185,198.242249,0.380830,0.243549
199.996185,199.263657,0.380830,0.296323
199.996185,199.448730,0.329538,0.437993
199.996185,198.626556,0.329538,0.393922
199.996185,200.510635,0.170877,0.220798
199.996185,199.904404,0.170877,0.226788
199.996185,200.040543,0.175353,0.269495
199.996185,200.485809,0.175353,0.048740
199.996185,200.108871,0.219614,0.144204
199.996185,199.991516,0.219614,0.085206
199.996185,199.903702,0.215114,0.157434
199.996185,200.386490,0.215114,0.243847
199.996185,199.526993,0.272592,0.340639
199.996185,200.735611,0.272592,0.203867
199.996185,200.434021,0.214945,0.250021
