ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.005478,0.131743,0.131857,7.542116
-0.007746,0.125730,0.125968,7.519831
-0.005547,0.121459,0.121586,7.489923
-0.009583,0.137970,0.138303,7.484529
-0.017595,0.137931,0.139049,7.460554
-0.013666,0.143809,0.144457,7.460281
-0.009990,0.145742,0.146084,7.464400
-0.015764,0.150201,0.151026,7.476628
-0.016000,0.152150,0.152989,7.489634
-0.020678,0.148254,0.149689,7.493643
-0.022941,0.149027,0.150782,7.496609
-0.020217,0.139015,0.140477,7.543854
-0.014334,0.139300,0.140035,7.568139
-0.011738,0.123113,0.123672,7.569205
-0.010154,0.116512,0.116954,7.568850
-0.008911,0.115720,0.116063,7.567194
-0.009949,0.115280,0.115709,7.550906
-0.008967,0.114450,0.114801,7.556344
-0.004784,0.117664,0.117761,7.552493
-0.006480,0.118478,0.118655,7.531993
-0.007159,0.114334,0.114557,7.498014
-0.009169,0.129274,0.129598,7.523656
-0.014553,0.133156,0.133949,7.510290
-0.009939,0.130322,0.130701,7.532196
-0.004623,0.126438,0.126523,7.541803
-0.004122,0.124303,0.124371,7.515900
-0.005286,0.123249,0.123362,7.498218
-0.007306,0.134776,0.134974,7.488410
-0.014639,0.132472,0.133278,7.462623
-0.015677,0.141981,0.142844,7.456376
-0.013304,0.147238,0.147838,7.454269
-0.012400,0.155428,0.155922,7.458764
-0.017685,0.153897,0.154910,7.466517
-0.023080,0.151112,0.152864,7.492095
-0.025364,0.150225,0.152351,7.483992
-0.021801,0.147040,0.148648,7.503604
-0.018293,0.144892,0.146042,7.544193
-0.013302,0.131786,0.132455,7.567442
-0.014157,0.124885,0.125685,7.565770
-0.007574,0.118617,0.118858,7.594025
-0.013523,0.112168,0.112980,7.559704
-0.010901,0.114924,0.115440,7.545714
-0.004711,0.110511,0.110611,7.561729
-0.004670,0.115713,0.115808,7.555489
-0.005043,0.114423,0.114534,7.532047
-0.007253,0.119878,0.120097,7.523285
-0.008660,0.122981,0.123286,7.510512
-0.009437,0.129719,0.130062,7.505649
-0.006301,0.129910,0.130063,7.525746
-0.003202,0.129650,0.129689,7.536388
-0.005230,0.127357,0.127464,7.509209
-0.004258,0.130103,0.130172,7.510326
-0.008822,0.131143,0.131439,7.478386
-0.010228,0.143670,0.144034,7.455075
-0.011343,0.140485,0.140942,7.455956
-0.009888,0.153693,0.154010,7.442236
-0.016385,0.155609,0.156470,7.440057
-0.022462,0.161565,0.163119,7.483862
-0.022319,0.160459,0.162004,7.496679
-0.021895,0.144497,0.146146,7.490957
-0.017078,0.142959,0.143976,7.510222
-0.014039,0.137988,0.138700,7.534398
-0.015307,0.138521,0.139364,7.565312
-0.015635,0.120134,0.121147,7.572875
-0.010794,0.115416,0.115919,7.583878
-0.006956,0.111692,0.111908,7.559860
-0.009215,0.107164,0.107560,7.547395
-0.005222,0.119547,0.119661,7.547972
-0.008914,0.124260,0.124579,7.532758
-0.009823,0.122446,0.122839,7.531226
-0.009220,0.122774,0.123119,7.532856
-0.009673,0.124608,0.124983,7.507335
-0.005363,0.127463,0.127576,7.517752
-0.006152,0.132534,0.132677,7.511380
-0.007504,0.131508,0.131722,7.526252
-0.008213,0.128406,0.128669,7.518082
-0.007207,0.126958,0.127162,7.517105
-0.008705,0.129799,0.130091,7.483444
-0.007018,0.133478,0.133663,7.471790
-0.005329,0.146907,0.147003,7.463719
-0.013753,0.149475,0.150106,7.440060
-0.017670,0.156929,0.157920,7.448993
-0.020184,0.158177,0.159460,7.469837
-0.022806,0.149225,0.150958,7.478166
-0.015469,0.147931,0.148738,7.494089
-0.014680,0.147885,0.148612,7.493165
-0.017045,0.148564,0.149538,7.520442
-0.017164,0.137999,0.139063,7.563465
-0.016589,0.133476,0.134503,7.582278
-0.016356,0.118647,0.119770,7.573436
-0.007323,0.116588,0.116817,7.569164
-0.007432,0.118523,0.118755,7.552907
-0.007079,0.118712,0.118922,7.549007
-0.009066,0.118663,0.119009,7.550344
-0.006391,0.119731,0.119901,7.555657
-0.011052,0.116573,0.117096,7.523363
-0.007424,0.119232,0.119463,7.525121
-0.005296,0.129316,0.129424,7.522410
-0.006860,0.131951,0.132129,7.523877
-0.006106,0.128821,0.128966,7.520500
-0.008104,0.132666,0.132913,7.541261
-0.013211,0.126804,0.127490,7.507720
-0.007096,0.126944,0.127142,7.509358
-0.004250,0.137346,0.137412,7.475995
-0.008209,0.140813,0.141052,7.477342
-0.012258,0.145061,0.145578,7.459041
-0.016704,0.146935,0.147881,7.470998
-0.018788,0.149200,0.150378,7.456156
-0.017746,0.147878,0.148939,7.482291
-0.014404,0.148668,0.149364,7.489784
-0.014396,0.148574,0.149269,7.491240
-0.016248,0.145418,0.146323,7.511433
-0.022473,0.144971,0.146703,7.568449
-0.017256,0.126395,0.127568,7.556620
-0.013972,0.119428,0.120242,7.577815
-0.007594,0.117545,0.117790,7.573553
-0.007826,0.116930,0.117191,7.562148
-0.006340,0.114227,0.114403,7.547866
-0.009299,0.114040,0.114419,7.567302
-0.008485,0.115832,0.116143,7.541046
-0.008354,0.114496,0.114801,7.508710
-0.009026,0.129873,0.130186,7.520099
-0.009441,0.138449,0.138771,7.509899
-0.009243,0.133749,0.134068,7.501789
-0.012224,0.135573,0.136123,7.532984
-0.012934,0.130001,0.130643,7.546074
-0.010344,0.130599,0.131008,7.520097
-0.008340,0.132525,0.132787,7.514597
-0.005516,0.135167,0.135279,7.492014
-0.009559,0.137414,0.137746,7.473588
-0.012281,0.142838,0.143365,7.479124
-0.018294,0.149545,0.150659,7.463910
-0.018321,0.154831,0.155911,7.471060
-0.015854,0.157533,0.158329,7.490596
-0.014031,0.155641,0.156272,7.503390
-0.016806,0.144731,0.145704,7.493066
-0.016566,0.139926,0.140903,7.536036
-0.017240,0.134595,0.135695,7.561841
-0.016960,0.132008,0.133093,7.570386
-0.012406,0.119841,0.120481,7.592396
-0.007305,0.120616,0.120837,7.581530
-0.010253,0.111605,0.112075,7.560563
-0.006351,0.108312,0.108498,7.556290
-0.008885,0.119427,0.119757,7.557765
-0.009008,0.121963,0.122295,7.544590
-0.007050,0.122339,0.122542,7.536143
-0.001122,0.120712,0.120717,7.533115
-0.007095,0.121043,0.121251,7.512028
-0.006512,0.124157,0.124328,7.526520
-0.008683,0.128517,0.128810,7.541771
-0.008528,0.129381,0.129661,7.531257
-0.005410,0.121388,0.121508,7.529143
-0.003541,0.123476,0.123527,7.502719
-0.005561,0.131101,0.131219,7.483554
-0.011106,0.138813,0.139256,7.460261
-0.014483,0.149911,0.150609,7.469328
-0.019382,0.152289,0.153517,7.442542
-0.014266,0.158684,0.159324,7.461693
-0.014284,0.157364,0.158011,7.475540
-0.017021,0.151077,0.152033,7.480328
-0.019984,0.148674,0.150011,7.484416
-0.021270,0.148355,0.149872,7.514927
-0.025027,0.145742,0.147875,7.546270
-0.016024,0.126917,0.127925,7.574112
-0.009570,0.125015,0.125381,7.584856
-0.008694,0.112028,0.112365,7.582040
-0.007469,0.108389,0.108647,7.550276
-0.007676,0.116965,0.117216,7.570019
-0.010037,0.118890,0.119313,7.550660
-0.006328,0.116979,0.117150,7.560710
-0.003654,0.116905,0.116962,7.523447
-0.005132,0.125856,0.125961,7.523182
-0.008851,0.127225,0.127533,7.503454
-0.008284,0.134187,0.134442,7.516973
-0.013144,0.136719,0.137349,7.519010
-0.011027,0.133519,0.133973,7.532544
-0.005883,0.128624,0.128759,7.536322
-0.006410,0.128126,0.128286,7.513098
-0.009808,0.126479,0.126858,7.485735
-0.009688,0.139072,0.139409,7.486739
-0.015051,0.138577,0.139392,7.456625
-0.014317,0.144817,0.145523,7.451138
-0.010882,0.149593,0.149988,7.465751
-0.013948,0.149509,0.150158,7.477671
-0.015908,0.150821,0.151658,7.487204
-0.019779,0.148036,0.149351,7.498672
-0.021857,0.144808,0.146448,7.495988
-0.018378,0.140996,0.142189,7.542299
-0.014745,0.139091,0.139870,7.562605
-0.012870,0.125869,0.126525,7.567873
-0.010832,0.117347,0.117846,7.568820
-0.008358,0.113159,0.113467,7.568497
-0.011224,0.111599,0.112162,7.545087
-0.009823,0.115082,0.115501,7.541067
-0.006397,0.117680,0.117854,7.546494
-0.006862,0.120212,0.120408,7.529215
-0.007713,0.117533,0.117786,7.506169
-0.006190,0.129919,0.130066,7.523286
-0.008675,0.130788,0.131075,7.510182
-0.010127,0.130430,0.130823,7.516842
-0.006706,0.127510,0.127687,7.535140
-0.003926,0.131669,0.131728,7.517813
-0.005812,0.125593,0.125727,7.500278
-0.008918,0.134392,0.134688,7.486957
-0.013740,0.136022,0.136715,7.467575
-0.009616,0.147165,0.147479,7.456446
-0.013089,0.145414,0.146002,7.456728
-0.011910,0.155496,0.155951,7.456070
-0.018722,0.156000,0.157119,7.459860
-0.021289,0.152771,0.154248,7.493841
-0.024347,0.151629,0.153571,7.485451
-0.022116,0.145377,0.147049,7.496756
-0.019943,0.142373,0.143763,7.543076
-0.011568,0.134834,0.135329,7.571115
-0.010076,0.124908,0.125314,7.569016
-0.008945,0.114853,0.115200,7.590004
-0.013436,0.111921,0.112724,7.564219
-0.011734,0.113024,0.113631,7.544387
-0.005943,0.111248,0.111406,7.547171
-0.004763,0.120156,0.120250,7.542424
-0.008712,0.118825,0.119144,7.532057
-0.006590,0.121093,0.121272,7.525660
-0.009408,0.123518,0.123876,7.521896
-0.012259,0.126252,0.126845,7.516131
-0.006542,0.125829,0.125999,7.530099
-0.003363,0.130429,0.130472,7.543448
-0.005374,0.128930,0.129042,7.508818
-0.007124,0.130425,0.130619,7.502183
-0.008523,0.131406,0.131682,7.476423
-0.012253,0.145742,0.146257,7.453796
-0.010441,0.141893,0.142276,7.465515
-0.009612,0.153049,0.153351,7.453184
-0.013267,0.154183,0.154753,7.451047
-0.022512,0.160947,0.162513,7.478439
-0.024211,0.156750,0.158608,7.486846
-0.022697,0.147499,0.149235,7.485778
-0.016143,0.147067,0.147950,7.506395
-0.013361,0.144598,0.145214,7.532020
-0.015853,0.142713,0.143591,7.563418
-0.009783,0.120609,0.121006,7.571409
-0.008147,0.121431,0.121704,7.589103
-0.009457,0.110563,0.110967,7.559416
-0.008317,0.108370,0.108689,7.551331
-0.005380,0.119920,0.120040,7.549784
-0.009497,0.126238,0.126595,7.542271
-0.009199,0.122544,0.122889,7.531440
-0.009433,0.123068,0.123429,7.543463
-0.012349,0.126202,0.126805,7.515541
-0.008449,0.123447,0.123735,7.520759
-0.004123,0.131907,0.131971,7.519205
-0.007724,0.134942,0.135163,7.540658
-0.007408,0.125752,0.125970,7.525232
-0.006599,0.123895,0.124070,7.528909
-0.007651,0.126102,0.126334,7.491898
-0.006188,0.125088,0.125241,7.471322
-0.004791,0.147520,0.147598,7.473665
-0.012112,0.150837,0.151322,7.454946
-0.014953,0.153737,0.154463,7.456258
-0.022030,0.156196,0.157742,7.476840
-0.022613,0.149981,0.151676,7.475450
-0.018798,0.146314,0.147517,7.492994
-0.017349,0.147931,0.148944,7.494304
-0.016272,0.148366,0.149255,7.523363
-0.016287,0.136227,0.137198,7.554793
-0.016199,0.133605,0.134584,7.580674
-0.015397,0.122313,0.123278,7.574266
-0.011410,0.115925,0.116485,7.569849
-0.009271,0.116185,0.116554,7.564428
-0.007892,0.116968,0.117234,7.550741
-0.008730,0.116726,0.117052,7.544049
-0.006363,0.119455,0.119624,7.544785
-0.010134,0.121052,0.121476,7.527750
-0.009360,0.125592,0.125940,7.524755
-0.007843,0.128914,0.129152,7.523597
-0.007109,0.133111,0.133301,7.528265
-0.008914,0.128380,0.128689,7.523013
-0.007732,0.129831,0.130061,7.541831
-0.006604,0.131534,0.131700,7.517262
-0.007310,0.130980,0.131183,7.505194
-0.006413,0.136107,0.136258,7.489070
-0.007149,0.141498,0.141679,7.479016
-0.012474,0.145002,0.145538,7.451838
-0.016234,0.147022,0.147915,7.469095
-0.023061,0.152111,0.153850,7.461648
-0.019253,0.156295,0.157477,7.488053
-0.018814,0.147012,0.148211,7.490033
-0.016698,0.149939,0.150865,7.504293
-0.017703,0.144206,0.145289,7.521495
-0.018327,0.141756,0.142936,7.581118
-0.015849,0.123124,0.124140,7.569381
-0.013114,0.117289,0.118020,7.579584
-0.006792,0.112492,0.112697,7.570292
-0.007140,0.113143,0.113368,7.556635
-0.009639,0.115955,0.116355,7.537719
-0.006766,0.114519,0.114718,7.554187
-0.006881,0.119536,0.119734,7.535614
-0.008790,0.120136,0.120457,7.512738
-0.006561,0.127943,0.128111,7.524972
-0.006779,0.133027,0.133199,7.507096
-0.008945,0.134970,0.135266,7.518024
-0.010723,0.134466,0.134893,7.537693
-0.008441,0.128910,0.129186,7.549161
-0.008381,0.127456,0.127732,7.513007
-0.005993,0.129773,0.129911,7.508061
-0.008301,0.139098,0.139345,7.476564
-0.011601,0.143058,0.143527,7.465537
-0.015334,0.145442,0.146248,7.466117
-0.018452,0.153332,0.154438,7.462491
-0.019381,0.151236,0.152473,7.462440
-0.017150,0.150308,0.151283,7.493028
-0.013049,0.155033,0.155581,7.499113
-0.015310,0.144348,0.145158,7.494270
-0.019834,0.143352,0.144717,7.530161
-0.018616,0.140080,0.141311,7.566392
-0.019437,0.136776,0.138150,7.567578
-0.013349,0.121422,0.122153,7.594402
-0.007998,0.120820,0.121085,7.581856
-0.010083,0.112229,0.112681,7.570570
-0.011044,0.109261,0.109817,7.557678
-0.008286,0.115388,0.115685,7.567951
-0.011813,0.115028,0.115633,7.544334
-0.006754,0.118951,0.119142,7.529243
-0.006127,0.123055,0.123208,7.528041
-0.009138,0.124487,0.124822,7.519683
-0.008643,0.124795,0.125094,7.513349
-0.010575,0.131822,0.132245,7.535998
-0.012504,0.132835,0.133423,7.528678
-0.005785,0.127984,0.128115,7.522299
-0.004657,0.124905,0.124992,7.510106
-0.007865,0.131287,0.131522,7.489466
-0.008361,0.131335,0.131600,7.465044
-0.011790,0.146005,0.146481,7.479245
-0.018498,0.147582,0.148737,7.452830
-0.014236,0.147333,0.148019,7.466229
-0.013608,0.155107,0.155702,7.470189
-0.015110,0.151576,0.152327,7.483593
-0.017199,0.149011,0.150001,7.479288
-0.021033,0.147662,0.149152,7.519088
-0.023633,0.147174,0.149059,7.546286
-0.017083,0.129508,0.130630,7.568158
-0.011601,0.123223,0.123768,7.578284
-0.008632,0.111392,0.111726,7.572100
-0.009710,0.109720,0.110148,7.547423
-0.008198,0.115769,0.116059,7.565227
-0.009356,0.116301,0.116677,7.544118
-0.008488,0.118110,0.118415,7.546793
-0.006454,0.119615,0.119789,7.527634
-0.005325,0.125627,0.125740,7.524981
-0.007990,0.120921,0.121185,7.510218
-0.005753,0.129783,0.129911,7.517828
-0.012291,0.131933,0.132504,7.521155
-0.009065,0.122892,0.123226,7.524746
-0.004933,0.124598,0.124696,7.528334
-0.004598,0.129191,0.129273,7.501971
-0.009448,0.129912,0.130256,7.473499
-0.012123,0.140575,0.141097,7.471013
-0.017026,0.145065,0.146061,7.459288
-0.016001,0.149481,0.150334,7.448189
-0.015246,0.151846,0.152609,7.460904
-0.015554,0.152424,0.153216,7.479322
-0.018337,0.154270,0.155356,7.473581
-0.022264,0.149959,0.151603,7.488600
-0.024239,0.151189,0.153120,7.500009
-0.019946,0.141455,0.142855,7.546140
-0.015338,0.136867,0.137724,7.570276
-0.012471,0.124777,0.125398,7.579167
-0.011607,0.115573,0.116155,7.574188
-0.009862,0.111709,0.112144,7.568317
-0.009030,0.110623,0.110991,7.553911
-0.007451,0.113433,0.113677,7.548920
-0.003442,0.118396,0.118446,7.552268
-0.005921,0.118243,0.118392,7.528203
-0.007759,0.115824,0.116084,7.504671
-0.006894,0.123440,0.123633,7.519403
-0.008857,0.130421,0.130722,7.510333
-0.009672,0.131682,0.132036,7.519884
-0.007975,0.131326,0.131568,7.537582
-0.003111,0.130427,0.130464,7.513916
-0.005481,0.128096,0.128213,7.495416
-0.008412,0.135499,0.135760,7.478844
-0.011003,0.139254,0.139688,7.465099
-0.012697,0.144773,0.145328,7.457183
-0.012516,0.148576,0.149102,7.455050
-0.013786,0.159175,0.159771,7.459155
-0.018304,0.155907,0.156978,7.466391
-0.019690,0.150067,0.151353,7.489456
