omega_ref,omega_pll,Iq_ref,Iq_meas
499.992371,499.754761,0.230312,0.125689
499.992371,501.094421,0.230312,0.187687
499.992371,500.055817,0.192344,0.047162
499.992371,501.323120,0.192344,0.197212
499.992371,501.956696,0.082965,0.169625
499.992371,500.700897,0.082965,0.018358
499.992371,498.840912,0.264033,0.250441
499.992371,498.611938,0.264033,0.250170
499.992371,497.024628,0.496241,0.303101
499.992371,496.788605,0.496241,0.403936
499.992371,496.539581,0.651440,0.698376
499.992371,496.844116,0.651440,0.305846
499.992371,496.963867,0.646513,0.444191
499.992371,498.862701,0.646513,0.667436
499.992371,498.274078,0.404039,0.475959
499.992371,499.325073,0.404039,0.381062
499.992371,502.188538,0.184218,0.355051
499.992371,503.665558,0.184218,0.160572
499.992371,503.510986,-0.073971,0.099106
499.992371,505.174133,-0.073971,0.222578
499.992371,503.458282,-0.212535,-0.121168
499.992371,502.341156,-0.212535,-0.292119
499.992371,503.021423,-0.023647,-0.083374
499.992371,502.690582,-0.023647,-0.207954
499.992371,501.201355,0.008942,-0.071842
499.992371,500.414215,0.008942,0.064389
499.992371,500.028473,0.190657,0.000000
499.992371,499.544952,0.190657,0.111191
499.992371,500.710602,0.240886,0.326364
499.992371,501.765991,0.240886,0.262318
499.992371,499.669006,0.089419,0.279532
499.992371,499.805145,0.089419,0.190218
499.992371,498.239044,0.299899,0.156400
499.992371,496.434509,0.299899,0.387598
499.992371,496.976288,0.654224,0.641139
499.992371,496.060791,0.654224,0.549514
499.992371,495.951477,0.739148,0.687821
499.992371,498.106018,0.739148,0.743306
499.992371,498.413239,0.473464,0.516194
499.992371,498.113678,0.473464,0.580574
499.992371,499.907928,0.468370,0.505851
499.992371,501.447052,0.468370,0.473730
499.992371,503.453949,-0.028251,0.113512
499.992371,503.594910,-0.028251,0.222348
499.992371,504.654907,-0.251217,-0.079635
499.992371,503.200470,-0.251217,-0.276139
499.992371,502.629944,-0.012100,0.006525
499.992371,502.281311,-0.012100,0.097184
499.992371,502.025757,-0.000271,-0.439194
499.992371,501.283142,-0.000271,0.032816
499.992371,501.864868,0.057041,0.057909
499.992371,499.991302,0.057041,-0.289594
499.992371,500.356323,0.260440,0.195621
499.992371,500.577423,0.260440,0.371128
499.992371,501.884735,0.093697,0.065990
499.992371,500.297882,0.093697,0.105203
499.992371,500.691956,0.070011,0.124027
499.992371,498.451904,0.070011,0.100796
499.992371,497.569702,0.404262,0.313439
499.992371,497.330811,0.404262,0.340371
499.992371,495.983368,0.525039,0.361373
499.992371,495.940186,0.525039,0.456841
499.992371,497.258850,0.602794,0.549554
499.992371,497.397552,0.602794,0.449523
499.992371,498.182648,0.499357,0.667322
499.992371,498.385376,0.499357,0.684588
499.992371,500.381256,0.330059,0.319798
499.992371,501.971649,0.330059,0.341378
499.992371,503.370300,-0.060705,0.172065
499.992371,503.602539,-0.060705,-0.082319
499.992371,502.810455,-0.150275,-0.031039
499.992371,502.967896,-0.150275,-0.061364
499.992371,502.271240,-0.123355,-0.327373
499.992371,501.660217,-0.123355,-0.128512
499.992371,501.522949,-0.063191,-0.043559
499.992371,500.248566,-0.063191,-0.102023
499.992371,499.976868,0.191303,-0.311745
499.992371,500.112213,0.191303,0.261689
499.992371,499.728790,0.194284,0.093888
499.992371,500.045776,0.194284,0.213935
499.992371,501.146851,0.071985,0.138304
499.992371,498.990143,0.071985,0.070412
499.992371,498.077362,0.331242,0.106044
499.992371,496.638245,0.331242,0.257867
499.992371,496.697205,0.532082,0.440974
499.992371,495.250916,0.532082,0.470594
499.992371,496.169006,0.667508,0.506362
499.992371,495.437775,0.667508,0.565210
499.992371,497.180054,0.620057,0.621063
499.992371,497.434540,0.620057,0.725464
499.992371,498.336975,0.532965,0.633203
