theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
2.208501,2.208501,0.000000,0.137546
3.948623,3.948623,0.000000,0.129215
5.703655,5.703655,0.000000,0.125063
1.153985,1.153985,0.000000,0.132071
2.889240,2.889240,0.000000,0.138701
4.632969,4.632969,0.000000,0.141041
0.084306,0.084306,0.000000,0.147739
1.817989,1.817989,0.000000,0.154020
3.570148,3.570148,0.000000,0.153984
5.317442,5.317442,0.000000,0.155244
0.781676,0.781676,0.000000,0.153914
2.534400,2.534400,0.000000,0.149214
4.292686,4.292686,0.000000,0.145652
6.061352,6.061352,0.000000,0.133718
1.542071,1.542071,0.000000,0.127896
3.303081,3.303081,0.000000,0.120401
5.054003,5.054003,0.000000,0.117997
0.532750,0.532750,0.000000,0.114055
2.286065,2.286065,0.000000,0.115012
4.036441,4.036441,0.000000,0.115165
5.789984,5.789984,0.000000,0.116711
1.256335,1.256335,0.000000,0.123057
2.998996,2.998996,0.000000,0.125450
4.756777,4.756777,0.000000,0.126215
0.218011,0.218011,0.000000,0.129443
1.975287,1.975287,0.000000,0.129546
3.722350,3.722350,0.000000,0.132065
5.472832,5.472832,0.000000,0.132230
0.925784,0.925784,0.000000,0.133186
2.664605,2.664605,0.000000,0.134380
4.403426,4.403426,0.000000,0.142636
6.134845,6.134845,0.000000,0.147144
1.595115,1.595115,0.000000,0.149219
3.337292,3.337292,0.000000,0.155291
5.082447,5.082447,0.000000,0.153560
0.549680,0.549680,0.000000,0.145971
2.294982,2.294982,0.000000,0.149740
4.052447,4.052447,0.000000,0.143727
5.821072,5.821072,0.000000,0.141153
1.300174,1.300174,0.000000,0.126881
3.056026,3.056026,0.000000,0.126586
4.815714,4.815714,0.000000,0.113230
0.281690,0.281690,0.000000,0.111286
2.032697,2.032697,0.000000,0.120282
3.786639,3.786639,0.000000,0.114239
5.539700,5.539700,0.000000,0.122097
0.997201,0.997201,0.000000,0.123077
2.751941,2.751941,0.000000,0.122871
4.498796,4.498796,0.000000,0.123947
6.248625,6.248625,0.000000,0.131339
1.713677,1.713677,0.000000,0.131038
3.476892,3.476892,0.000000,0.130022
5.211517,5.211517,0.000000,0.127111
0.677702,0.677702,0.000000,0.129202
2.408595,2.408595,0.000000,0.131439
4.148486,4.148486,0.000000,0.145737
5.880239,5.880239,0.000000,0.146472
1.336798,1.336798,0.000000,0.154290
3.072851,3.072851,0.000000,0.155768
4.825094,4.825094,0.000000,0.148782
0.287714,0.287714,0.000000,0.151812
2.028403,2.028403,0.000000,0.149703
3.785995,3.785995,0.000000,0.150040
5.560194,5.560194,0.000000,0.138203
1.030238,1.030238,0.000000,0.135810
2.796138,2.796138,0.000000,0.117893
4.548335,4.548335,0.000000,0.114120
0.021213,0.021213,0.000000,0.120190
1.768569,1.768569,0.000000,0.119547
3.527946,3.527946,0.000000,0.117647
5.273644,5.273644,0.000000,0.124338
0.738381,0.738381,0.000000,0.123799
2.490750,2.490750,0.000000,0.120513
4.241862,4.241862,0.000000,0.131468
5.989470,5.989470,0.000000,0.131001
1.468028,1.468028,0.000000,0.131901
3.222810,3.222810,0.000000,0.132244
4.964545,4.964545,0.000000,0.123968
0.425508,0.425508,0.000000,0.123330
2.160828,2.160828,0.000000,0.135771
3.889204,3.889204,0.000000,0.136229
5.634695,5.634695,0.000000,0.147679
1.078125,1.078125,0.000000,0.150442
2.823657,2.823657,0.000000,0.154052
4.575376,4.575376,0.000000,0.159308
0.042337,0.042337,0.000000,0.150823
1.782901,1.782901,0.000000,0.148150
3.545165,3.545165,0.000000,0.143597
5.303973,5.303973,0.000000,0.143811
0.782493,0.782493,0.000000,0.128401
2.547782,2.547782,0.000000,0.121199
4.305938,4.305938,0.000000,0.118509
6.051157,6.051157,0.000000,0.114675
1.530240,1.530240,0.000000,0.117139
3.280576,3.280576,0.000000,0.117024
5.032357,5.032357,0.000000,0.122206
0.497766,0.497766,0.000000,0.120361
2.248626,2.248626,0.000000,0.133044
3.988767,3.988767,0.000000,0.131731
5.750910,5.750910,0.000000,0.133509
1.223554,1.223554,0.000000,0.133342
2.976655,2.976655,0.000000,0.121701
4.729886,4.729886,0.000000,0.123166
0.181033,0.181033,0.000000,0.131983
1.917841,1.917841,0.000000,0.132780
3.657291,3.657291,0.000000,0.143244
5.402384,5.402384,0.000000,0.147017
0.844450,0.844450,0.000000,0.149846
2.594072,2.594072,0.000000,0.153333
4.338535,4.338535,0.000000,0.155840
6.084403,6.084403,0.000000,0.156553
1.550651,1.550651,0.000000,0.147318
3.304931,3.304931,0.000000,0.145671
5.067133,5.067133,0.000000,0.140518
0.558383,0.558383,0.000000,0.134180
2.319518,2.319518,0.000000,0.124619
4.078326,4.078326,0.000000,0.122402
5.831240,5.831240,0.000000,0.116467
1.308793,1.308793,0.000000,0.114881
3.055644,3.055644,0.000000,0.114524
4.820096,4.820096,0.000000,0.117474
0.279569,0.279569,0.000000,0.122739
2.031350,2.031350,0.000000,0.120740
3.779923,3.779923,0.000000,0.122399
5.531958,5.531958,0.000000,0.126696
0.997787,0.997787,0.000000,0.130405
2.759236,2.759236,0.000000,0.126731
4.511668,4.511668,0.000000,0.126488
6.255837,6.255837,0.000000,0.129083
1.708013,1.708013,0.000000,0.130973
3.446750,3.446750,0.000000,0.130895
5.181314,5.181314,0.000000,0.147781
0.636467,0.636467,0.000000,0.151297
2.376400,2.376400,0.000000,0.157866
4.127532,4.127532,0.000000,0.156567
5.874595,5.874595,0.000000,0.151077
1.341304,1.341304,0.000000,0.148343
3.090972,3.090972,0.000000,0.147447
4.864687,4.864687,0.000000,0.147223
0.347171,0.347171,0.000000,0.129595
2.108871,2.108871,0.000000,0.122972
3.868960,3.868960,0.000000,0.112801
5.624831,5.624831,0.000000,0.110341
1.091140,1.091140,0.000000,0.118074
2.846507,2.846507,0.000000,0.119979
4.605925,4.605925,0.000000,0.121576
0.070369,0.070369,0.000000,0.122813
1.812652,1.812652,0.000000,0.124562
3.573955,3.573955,0.000000,0.125847
5.317620,5.317620,0.000000,0.134323
0.790999,0.790999,0.000000,0.133744
2.550288,2.550288,0.000000,0.128897
4.298547,4.298547,0.000000,0.128243
6.045127,6.045127,0.000000,0.126533
1.505566,1.505566,0.000000,0.125053
3.238641,3.238641,0.000000,0.140663
4.975427,4.975427,0.000000,0.138969
0.430686,0.430686,0.000000,0.145111
2.169465,2.169465,0.000000,0.152142
3.909523,3.909523,0.000000,0.151899
5.668248,5.668248,0.000000,0.153360
1.123862,1.123862,0.000000,0.150082
2.869124,2.869124,0.000000,0.146554
4.639212,4.639212,0.000000,0.145798
0.122809,0.122809,0.000000,0.145768
