omega_ref,omega_pll,Iq_ref,Iq_meas
699.984741,702.928711,0.076071,-0.055191
699.984741,703.135498,-0.071382,0.056318
699.984741,703.727600,-0.071382,-0.307792
699.984741,700.513062,-0.125588,0.101495
699.984741,701.728516,-0.125588,-0.120180
699.984741,700.682617,0.106498,0.186948
699.984741,702.359802,0.106498,-0.077572
699.984741,702.882263,-0.080060,0.168373
699.984741,700.900269,-0.080060,-0.178552
699.984741,697.284119,0.204165,0.284235
699.984741,696.790405,0.204165,0.224732
699.984741,694.291931,0.676994,0.492728
699.984741,695.057129,0.676994,0.386399
699.984741,696.662048,0.779807,0.951751
699.984741,696.222412,0.779807,0.904760
699.984741,699.997864,0.726145,0.913139
699.984741,702.671021,0.726145,0.733895
699.984741,702.312012,0.112163,0.371684
699.984741,703.481018,0.112163,-0.039139
699.984741,703.663513,-0.134570,0.022897
699.984741,703.878540,-0.134570,-0.209553
699.984741,701.512207,-0.133282,-0.061030
699.984741,701.687195,-0.133282,-0.257555
699.984741,701.227600,0.130432,0.028498
699.984741,703.162109,0.130432,-0.131122
699.984741,703.491455,-0.198633,-0.234877
699.984741,700.725037,-0.198633,-0.105758
699.984741,697.800842,0.194979,0.198082
699.984741,696.324097,0.194979,0.282600
699.984741,694.672180,0.708287,0.461366
699.984741,695.624817,0.708287,0.624213
699.984741,696.842896,0.698115,0.824720
699.984741,696.068359,0.698115,1.013586
699.984741,700.959229,0.683283,0.802976
699.984741,702.438782,0.683283,0.650909
699.984741,702.501892,0.072608,0.004564
699.984741,703.188660,0.072608,0.024719
699.984741,702.790527,-0.130608,-0.002329
699.984741,703.191101,-0.130608,-0.158027
699.984741,702.637695,-0.062937,-0.081153
699.984741,701.436462,-0.062937,0.027353
699.984741,701.657593,0.121555,-0.047412
699.984741,703.691772,0.121555,0.218791
699.984741,702.914185,-0.199918,-0.234907
699.984741,700.142151,-0.199918,-0.003607
699.984741,697.931335,0.198584,0.359157
699.984741,695.709839,0.198584,0.238961
699.984741,695.064148,0.689742,0.302240
699.984741,695.045898,0.689742,0.504272
699.984741,695.759644,0.708318,0.841523
699.984741,695.940491,0.708318,0.890280
699.984741,701.773682,0.622129,0.664104
699.984741,701.786743,0.622129,0.610053
699.984741,702.470947,0.061126,0.148568
699.984741,703.194458,0.061126,0.234904
699.984741,702.727112,-0.147983,0.014528
699.984741,702.390686,-0.147983,0.108654
699.984741,702.544373,-0.055904,-0.087212
699.984741,700.635254,-0.055904,0.047523
699.984741,701.534363,0.154884,-0.070203
699.984741,703.661560,0.154884,0.460845
699.984741,702.403748,-0.173758,-0.353682
699.984741,699.949463,-0.173758,0.050943
699.984741,698.371521,0.178194,0.118184
699.984741,695.762939,0.178194,0.148637
699.984741,695.324402,0.607471,0.233942
699.984741,695.550781,0.607471,0.627646
699.984741,696.239502,0.656235,0.884841
699.984741,695.797058,0.656235,0.870923
699.984741,701.514954,0.584478,0.547603
699.984741,701.204346,0.584478,0.591254
699.984741,702.433350,0.056504,-0.118635
699.984741,702.710510,0.056504,0.216863
699.984741,702.062439,-0.045038,0.144465
699.984741,702.009644,-0.045038,0.099876
699.984741,702.497681,-0.055652,-0.026599
699.984741,701.010498,-0.055652,-0.039732
699.984741,701.701294,-0.009854,-0.192474
699.984741,703.367432,-0.009854,-0.031355
699.984741,701.734070,-0.083770,0.197791
699.984741,699.141479,-0.083770,-0.033792
699.984741,697.472046,0.252420,0.260235
699.984741,695.167114,0.252420,0.135105
699.984741,694.707520,0.662204,0.160916
699.984741,695.456970,0.662204,0.744526
699.984741,695.826843,0.720719,0.943013
699.984741,696.287659,0.720719,0.792884
699.984741,701.665222,0.542404,0.556359
699.984741,701.529846,0.542404,0.364560
699.984741,702.133545,0.020762,0.388501
699.984741,702.458069,0.020762,0.154147
699.984741,702.220032,0.056108,0.240163
699.984741,702.185059,0.056108,-0.066446
699.984741,701.569153,-0.067502,-0.060469
699.984741,701.048950,-0.067502,-0.312134
699.984741,701.291199,0.052821,-0.015458
699.984741,702.843994,0.052821,0.126020
699.984741,701.176086,-0.039796,0.054095
699.984741,699.521362,-0.039796,-0.052031
699.984741,696.791321,0.287655,0.223696
699.984741,696.364197,0.287655,-0.005329
699.984741,695.232605,0.547258,0.321275
699.984741,695.298035,0.547258,0.798100
699.984741,695.452820,0.791631,0.884853
699.984741,696.638428,0.791631,0.726867
699.984741,700.902466,0.539770,0.575032
699.984741,701.382996,0.539770,0.279032
699.984741,701.802490,0.058037,0.301077
699.984741,702.123230,0.058037,0.125411
699.984741,701.730103,0.100415,0.445992
699.984741,702.534912,0.100415,0.015220
699.984741,700.790100,-0.038549,-0.070617
699.984741,700.692932,-0.038549,-0.329148
699.984741,701.812927,0.099485,0.109761
699.984741,703.114990,0.099485,-0.079149
699.984741,701.293213,-0.100112,-0.116387
699.984741,699.855957,-0.100112,-0.118953
699.984741,696.549500,0.316599,0.234446
699.984741,696.091370,0.316599,0.000137
699.984741,695.112976,0.607891,0.550217
699.984741,695.883667,0.607891,0.753342
699.984741,695.198425,0.723443,0.827361
699.984741,698.250793,0.723443,0.629982
699.984741,701.523499,0.425299,0.465740
699.984741,702.207642,0.425299,0.181707
699.984741,702.800720,-0.008249,0.273494
699.984741,702.249939,-0.008249,0.035386
699.984741,702.588684,0.006660,-0.004780
699.984741,702.886963,0.006660,-0.018936
699.984741,699.961609,-0.033536,-0.093728
699.984741,701.007874,-0.033536,-0.407830
699.984741,702.856079,0.057138,0.201586
699.984741,703.058960,0.057138,0.107606
699.984741,701.103821,-0.216537,-0.140756
699.984741,698.782104,-0.216537,-0.208805
699.984741,696.218933,0.396092,0.005170
699.984741,696.025391,0.396092,0.053831
699.984741,694.872864,0.622178,0.763579
699.984741,695.102356,0.622178,0.815413
699.984741,696.094788,0.758370,0.800287
699.984741,697.426086,0.758370,0.733583
699.984741,701.199158,0.601278,0.508890
699.984741,702.358154,0.601278,0.384601
699.984741,702.888977,0.008191,0.389466
699.984741,702.193359,0.008191,0.228415
699.984741,703.193848,-0.054988,-0.122986
699.984741,702.821350,-0.054988,-0.013314
699.984741,700.879395,-0.038959,-0.115431
699.984741,701.415710,-0.038959,-0.183656
699.984741,702.378845,-0.030644,0.068508
699.984741,702.356628,-0.030644,-0.071551
699.984741,701.932556,-0.202800,-0.281671
699.984741,698.677124,-0.202800,-0.245243
699.984741,696.604858,0.317624,-0.004741
699.984741,695.995544,0.317624,0.153672
699.984741,694.909058,0.617891,0.661594
699.984741,694.936951,0.617891,0.818089
699.984741,696.268127,0.691009,0.646130
