theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
2.306094,2.576831,15.512092,0.164731
4.767062,5.037936,15.519966,0.155911
0.935506,1.205958,15.495772,0.153268
3.404080,3.675057,15.525830,0.151617
5.854182,6.124612,15.494511,0.151766
2.013902,2.283672,15.456673,0.162093
4.471446,4.741396,15.466980,0.164704
0.642093,0.912075,15.468836,0.164052
3.106915,3.377351,15.494823,0.160693
5.565384,5.835852,15.496648,0.157802
1.719631,1.989092,15.438981,0.153243
4.153729,4.422396,15.393465,0.167914
0.308753,0.577094,15.374854,0.173397
2.746290,3.014460,15.365000,0.185276
5.187497,5.455689,15.366283,0.187416
1.351245,1.619683,15.380343,0.186416
3.807323,4.076445,15.419564,0.183179
0.006118,0.276884,15.513749,0.175568
2.463138,2.733850,15.510662,0.161509
4.918734,5.189306,15.502652,0.156682
1.092378,1.362850,15.496926,0.151410
3.557202,3.828039,15.517777,0.155016
6.002896,6.273040,15.478125,0.152996
2.170985,2.440995,15.470387,0.159971
4.626706,4.896775,15.473844,0.159970
0.797626,1.067704,15.474373,0.160855
3.270186,3.541080,15.521063,0.160730
5.719321,5.989708,15.492035,0.155822
1.868535,2.137722,15.423311,0.153839
4.302507,4.571003,15.383650,0.165608
0.453231,0.721274,15.357725,0.174369
2.888315,3.156166,15.346755,0.181500
5.332710,5.600842,15.362820,0.188068
1.492892,1.761165,15.370925,0.186219
3.943221,4.211988,15.399222,0.186813
0.138492,0.408833,15.489441,0.176683
2.600421,2.871099,15.508686,0.162473
5.051528,5.321840,15.487789,0.156328
1.228637,1.499148,15.499160,0.151166
3.684628,3.955115,15.497707,0.152215
6.137475,0.124572,15.486067,0.154383
2.305921,2.576083,15.479181,0.159472
4.762585,5.032874,15.486411,0.159459
0.924760,1.194585,15.459839,0.157420
3.396922,3.667686,15.513604,0.154481
5.842429,6.112570,15.477954,0.153269
1.995984,2.265262,15.428511,0.154876
4.429852,4.698476,15.391048,0.165202
0.578939,0.847022,15.359993,0.172429
3.001671,3.268908,15.311572,0.174342
5.448394,5.716246,15.346816,0.186985
1.597251,1.864797,15.329266,0.189962
4.058215,4.326999,15.400203,0.193146
0.249774,0.519987,15.482049,0.178887
2.703399,2.973628,15.483002,0.171663
5.149909,5.419718,15.458947,0.160805
1.335721,1.606345,15.505611,0.156034
3.783662,4.053888,15.482800,0.154878
6.239613,0.226683,15.484488,0.155984
2.405520,2.675575,15.472958,0.157165
4.865120,5.135501,15.491651,0.161760
1.037362,1.307738,15.491399,0.155984
3.508790,3.779912,15.534163,0.155065
5.942866,6.212715,15.461202,0.153743
2.091954,2.360800,15.403727,0.157139
4.525129,4.793436,15.372807,0.164708
0.674175,0.942027,15.346786,0.176065
