ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.002677,0.128700,0.128728,10.031392
-0.005065,0.130330,0.130429,10.064815
-0.006446,0.129013,0.129174,10.049091
-0.002045,0.126182,0.126198,10.027601
0.000315,0.130493,0.130494,10.008139
0.000169,0.135079,0.135079,9.983670
-0.003208,0.139755,0.139792,9.950735
-0.009996,0.148926,0.149261,9.962580
-0.016155,0.152643,0.153495,9.936552
-0.012511,0.152797,0.153309,9.959293
-0.011600,0.151592,0.152035,9.981848
-0.008566,0.151217,0.151460,9.986798
-0.014687,0.151045,0.151758,9.976323
-0.015378,0.150848,0.151629,10.048870
-0.015586,0.143516,0.144360,10.078615
-0.012147,0.130582,0.131146,10.103131
-0.006836,0.120476,0.120670,10.114172
-0.002431,0.117857,0.117882,10.105122
-0.005942,0.113989,0.114143,10.068839
-0.004834,0.117811,0.117910,10.097107
-0.005218,0.120412,0.120525,10.077353
-0.004558,0.121859,0.121944,10.072433
-0.000839,0.121830,0.121832,10.052249
-0.000787,0.126470,0.126473,10.042874
-0.003121,0.129093,0.129131,10.014847
-0.010899,0.134854,0.135293,10.039885
-0.008919,0.132983,0.133282,10.046805
-0.007017,0.134308,0.134492,10.048910
-0.000588,0.126961,0.126962,10.055851
0.001006,0.127468,0.127472,10.013664
-0.000778,0.130197,0.130199,9.981669
-0.005302,0.140255,0.140355,9.980272
-0.007641,0.143709,0.143912,9.981984
-0.010957,0.143957,0.144374,9.952496
-0.006630,0.146231,0.146381,9.965919
-0.006789,0.145377,0.145535,9.967710
-0.010558,0.150508,0.150878,9.972626
-0.018999,0.151973,0.153156,9.985768
-0.016411,0.145955,0.146875,10.018864
-0.014631,0.142218,0.142968,10.051044
-0.008281,0.133397,0.133654,10.083775
-0.004172,0.126642,0.126711,10.083934
-0.004114,0.115751,0.115824,10.082946
-0.005246,0.117344,0.117461,10.077623
-0.002976,0.117496,0.117534,10.085207
-0.005880,0.116124,0.116273,10.070024
-0.001563,0.114621,0.114631,10.083977
0.001707,0.117867,0.117879,10.030888
0.002039,0.119623,0.119640,10.007579
-0.000718,0.124308,0.124310,10.010217
-0.004313,0.134980,0.135049,10.003596
-0.007078,0.138234,0.138415,10.014935
-0.004233,0.133998,0.134065,10.047472
-0.000864,0.126188,0.126191,10.026118
-0.003127,0.131188,0.131225,10.002646
-0.004788,0.136144,0.136228,9.973657
-0.007134,0.144031,0.144208,9.968115
-0.010949,0.146104,0.146513,9.937961
-0.008988,0.148417,0.148689,9.941067
-0.007411,0.156259,0.156435,9.955482
-0.011855,0.152842,0.153301,9.971908
-0.013484,0.151170,0.151771,9.985439
-0.018413,0.149432,0.150562,9.986943
-0.020437,0.144259,0.145700,10.004576
-0.015190,0.139079,0.139906,10.068829
-0.009209,0.129431,0.129758,10.091928
-0.007540,0.125282,0.125508,10.102238
-0.004128,0.115848,0.115921,10.106290
-0.004664,0.114151,0.114246,10.104876
-0.004498,0.112729,0.112819,10.072413
-0.002062,0.113021,0.113040,10.077946
0.001319,0.115748,0.115756,10.069626
-0.000900,0.119601,0.119604,10.038800
-0.002874,0.123508,0.123541,10.005566
-0.000221,0.129263,0.129263,10.025481
-0.007674,0.130269,0.130495,9.998755
-0.004123,0.130927,0.130992,10.022470
-0.001247,0.129464,0.129470,10.041348
-0.000494,0.132718,0.132719,10.016906
-0.003009,0.132597,0.132631,9.994694
-0.004451,0.136451,0.136523,9.989109
-0.010166,0.135580,0.135960,9.954047
-0.003440,0.144442,0.144483,9.952608
-0.006085,0.149728,0.149851,9.944533
-0.006685,0.154741,0.154885,9.939293
-0.011899,0.156494,0.156945,9.955471
-0.013520,0.156098,0.156682,9.987053
-0.019540,0.148964,0.150240,9.970989
-0.012173,0.145483,0.145992,10.008681
-0.011345,0.139668,0.140128,10.057109
-0.008822,0.137196,0.137479,10.089695
-0.007628,0.123982,0.124217,10.084993
-0.006741,0.119207,0.119398,10.112694
-0.005754,0.113206,0.113352,10.083355
-0.004794,0.115081,0.115181,10.066781
0.000734,0.115524,0.115526,10.085736
0.000181,0.123597,0.123597,10.073443
-0.001246,0.118520,0.118526,10.034228
-0.003747,0.121184,0.121242,10.029899
-0.006283,0.129233,0.129386,10.017995
-0.008011,0.131837,0.132080,10.005904
-0.002837,0.135898,0.135928,10.030098
-0.001291,0.134689,0.134696,10.060493
-0.000984,0.123208,0.123212,10.013625
-0.003303,0.127021,0.127064,10.021970
-0.003665,0.131949,0.131999,9.976497
-0.003537,0.139370,0.139415,9.953529
-0.003148,0.147795,0.147828,9.954593
-0.005865,0.154740,0.154851,9.938901
-0.009580,0.156288,0.156581,9.931329
-0.016638,0.155682,0.156569,9.986357
-0.019057,0.149286,0.150498,9.985048
-0.016778,0.146454,0.147412,9.988685
-0.013328,0.147468,0.148069,10.002768
-0.008796,0.141862,0.142134,10.037613
-0.011370,0.138155,0.138622,10.073218
-0.010627,0.129719,0.130154,10.098112
-0.007831,0.121060,0.121313,10.111182
-0.004635,0.121087,0.121176,10.085549
-0.002562,0.118286,0.118313,10.090504
0.000768,0.119644,0.119646,10.074198
-0.003003,0.118388,0.118426,10.062093
-0.001566,0.119788,0.119798,10.062160
-0.004090,0.122121,0.122189,10.049051
-0.003258,0.124556,0.124599,10.029779
-0.002507,0.126130,0.126154,10.044518
0.000720,0.131032,0.131034,10.035857
-0.002064,0.130153,0.130169,10.049965
-0.001703,0.128896,0.128908,10.033554
-0.000934,0.130007,0.130010,10.022328
-0.003376,0.134193,0.134235,9.991357
-0.000426,0.136744,0.136745,9.968136
0.001039,0.148927,0.148931,9.967429
-0.008222,0.149262,0.149489,9.941315
-0.005604,0.150002,0.150106,9.956147
-0.014577,0.155763,0.156444,9.965273
-0.016021,0.153954,0.154785,9.975103
-0.011178,0.151322,0.151735,9.986720
-0.012091,0.151620,0.152101,9.994519
-0.012044,0.144569,0.145070,10.043199
-0.012422,0.136615,0.137179,10.099341
