omega_ref,omega_pll,Iq_ref,Iq_meas
499.996948,500.726288,-0.037291,0.010321
499.996948,500.331482,0.183640,0.150357
499.996948,499.635071,0.183640,0.137253
499.996948,499.855225,0.255291,0.212743
499.996948,498.420319,0.255291,0.307483
499.996948,499.259369,0.293126,0.545556
499.996948,499.149414,0.293126,0.353265
499.996948,500.684601,0.308684,0.238730
499.996948,500.107117,0.308684,0.239670
499.996948,501.000641,0.152162,0.133303
499.996948,499.472382,0.152162,0.182635
499.996948,498.770111,0.233406,0.329623
499.996948,498.738678,0.233406,0.098301
499.996948,498.289459,0.427901,0.214314
499.996948,497.771606,0.427901,0.357290
499.996948,498.997620,0.448284,0.383637
499.996948,498.740204,0.448284,0.590861
499.996948,499.099152,0.293937,0.513317
499.996948,498.839752,0.293937,0.135696
499.996948,500.320526,0.364569,0.134671
499.996948,501.589569,0.364569,0.308921
499.996948,502.802673,-0.015039,0.218168
499.996948,502.258331,-0.015039,0.033321
499.996948,501.520081,-0.050099,-0.084432
499.996948,501.462769,-0.050099,0.026652
499.996948,501.079468,0.166687,-0.065975
499.996948,500.269867,0.166687,0.060181
499.996948,500.214722,0.185903,0.206458
499.996948,498.713257,0.185903,0.187613
499.996948,499.008575,0.337189,0.259173
499.996948,498.851563,0.337189,0.389581
499.996948,499.396942,0.419507,0.368598
499.996948,500.015900,0.419507,0.367488
499.996948,501.518372,0.092608,0.364231
499.996948,500.678955,0.092608,0.081992
499.996948,500.732147,0.122680,0.126652
499.996948,499.634827,0.122680,0.220961
499.996948,499.525696,0.340131,0.127393
499.996948,498.359680,0.340131,0.281425
499.996948,499.107239,0.336931,0.361145
499.996948,498.042969,0.336931,0.091234
499.996948,498.448578,0.437525,0.398655
499.996948,499.340820,0.437525,0.505654
499.996948,499.202271,0.424009,0.303171
499.996948,500.201660,0.424009,0.383601
499.996948,502.462311,0.139575,0.293815
499.996948,502.604279,0.139575,0.177362
499.996948,501.967194,0.022422,-0.166070
499.996948,501.994659,0.022422,0.140040
499.996948,501.298370,0.085453,-0.013226
499.996948,500.416992,0.085453,0.012604
499.996948,501.103912,0.122673,0.125980
499.996948,500.555481,0.122673,0.030420
499.996948,499.123535,0.224152,0.128515
499.996948,500.216156,0.224152,0.278665
499.996948,499.488495,0.266293,-0.084561
499.996948,499.565125,0.266293,0.171180
499.996948,500.547852,0.215498,0.229994
499.996948,502.461639,0.215498,0.406043
499.996948,500.330627,0.106660,0.283561
499.996948,501.269409,0.106660,0.236174
499.996948,499.355835,0.214393,0.152688
499.996948,498.996094,0.214393,0.093494
499.996948,498.409271,0.302390,0.342674
499.996948,498.667877,0.302390,0.263975
499.996948,497.607513,0.428719,0.472964
499.996948,498.650574,0.428719,0.500428
499.996948,499.161011,0.374417,0.293010
499.996948,498.443176,0.374417,0.425905
499.996948,499.569885,0.378781,0.388348
499.996948,502.677124,0.378781,0.383817
499.996948,501.792297,0.029781,0.198579
499.996948,503.259064,0.029781,0.275023
499.996948,501.743164,-0.034499,0.197785
499.996948,501.266815,-0.034499,-0.101255
499.996948,500.426270,0.083416,0.052663
499.996948,501.671539,0.083416,0.125796
499.996948,499.969879,0.141259,0.110992
499.996948,499.358521,0.141259,0.268032
499.996948,499.556763,0.242749,0.486637
499.996948,499.134766,0.242749,0.089476
499.996948,499.240570,0.228402,0.227922
499.996948,501.205811,0.228402,0.231714
499.996948,501.067596,0.134299,0.365152
499.996948,500.470581,0.134299,0.155644
499.996948,500.078217,0.123498,0.316283
499.996948,498.821808,0.123498,-0.008083
499.996948,497.769714,0.382384,0.339112
499.996948,499.008789,0.382384,0.302037
499.996948,497.159302,0.467880,0.339550
499.996948,497.723999,0.467880,0.534038
499.996948,498.094147,0.504481,0.605916
499.996948,498.999146,0.504481,0.407501
499.996948,498.410828,0.347641,0.410203
499.996948,500.596985,0.347641,0.319378
499.996948,501.840759,0.201056,0.466694
499.996948,502.398041,0.201056,0.247495
499.996948,502.744446,-0.109679,0.138363
499.996948,501.756653,-0.109679,-0.213240
499.996948,500.624573,0.007161,-0.060262
499.996948,501.206512,0.007161,0.021778
499.996948,499.879333,0.174289,0.290977
499.996948,499.526947,0.174289,0.020716
499.996948,499.131409,0.262965,0.363456
499.996948,499.566895,0.262965,0.124800
499.996948,498.733704,0.239210,0.277937
499.996948,499.330444,0.239210,0.281957
499.996948,499.286774,0.311354,0.255726
499.996948,500.605286,0.311354,0.220248
499.996948,501.252075,0.077342,0.122534
499.996948,500.980652,0.077342,-0.064802
499.996948,499.582733,0.058630,0.051064
499.996948,499.012573,0.058630,0.318576
499.996948,498.580200,0.361570,0.262225
499.996948,497.244629,0.361570,0.332517
499.996948,497.963165,0.423880,0.473247
499.996948,498.508118,0.423880,0.300652
499.996948,497.699158,0.386039,0.359458
499.996948,498.390198,0.386039,0.347932
499.996948,498.683594,0.449237,0.410127
499.996948,500.599426,0.449237,0.475517
499.996948,501.907318,0.002403,0.264610
499.996948,502.223572,0.002403,-0.086290
499.996948,501.666473,-0.076223,-0.052540
499.996948,500.742737,-0.076223,0.031176
499.996948,500.694519,0.145725,0.070744
499.996948,499.978333,0.145725,0.213345
499.996948,500.177307,0.120035,0.419435
499.996948,499.125824,0.120035,0.010226
499.996948,498.322357,0.350164,0.153095
499.996948,498.588470,0.350164,0.326744
499.996948,498.592407,0.346944,0.228374
499.996948,499.060669,0.346944,0.405137
499.996948,500.971863,0.124668,0.279381
499.996948,500.956451,0.124668,0.221257
499.996948,500.017090,0.128817,0.035587
499.996948,499.465210,0.128817,0.174748
499.996948,498.832214,0.274209,-0.070279
499.996948,497.636414,0.274209,0.428264
499.996948,498.191284,0.393694,0.435945
499.996948,497.743622,0.393694,0.053765
499.996948,498.083313,0.464482,0.426402
499.996948,498.675781,0.464482,0.437049
499.996948,499.081879,0.323884,0.381064
499.996948,499.045166,0.323884,0.348007
499.996948,501.023743,0.177212,0.373799
499.996948,501.922943,0.177212,0.156804
499.996948,501.805206,0.039052,-0.080189
499.996948,501.876831,0.039052,0.251890
499.996948,501.423889,0.055295,0.064752
499.996948,500.070892,0.055295,0.059335
499.996948,500.478546,0.079740,0.198612
499.996948,499.835022,0.079740,0.102824
499.996948,499.116730,0.221278,0.061498
499.996948,498.420807,0.221278,0.181406
499.996948,499.480408,0.317454,0.181077
499.996948,498.315582,0.317454,0.219742
499.996948,499.832977,0.278787,0.467846
