omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
650.015259,647.434753,0.440625,0.396272
650.015259,647.371094,0.447887,0.394193
650.015259,649.785461,0.447887,0.328305
650.015259,652.263489,0.157164,0.368943
650.015259,651.902832,0.157164,0.310551
650.015259,651.575623,0.114439,-0.065565
650.015259,650.709473,0.114439,0.122838
650.015259,650.210083,0.051715,0.091751
650.015259,650.046631,0.051715,0.151790
650.015259,650.337891,0.269191,0.269532
650.015259,649.898499,0.269191,0.368579
650.015259,649.764465,0.242408,0.248899
650.015259,650.912231,0.242408,0.002379
650.015259,651.209839,-0.019747,-0.026423
650.015259,650.651001,-0.019747,-0.162860
650.015259,649.297363,0.182263,0.370608
650.015259,648.697693,0.182263,0.308992
650.015259,647.759888,0.378732,0.211630
650.015259,647.139465,0.378732,0.294900
650.015259,647.136047,0.451928,0.422332
650.015259,647.240234,0.451928,0.364332
650.015259,649.345947,0.584411,0.563937
650.015259,652.117310,0.584411,0.576926
650.015259,651.160645,0.008253,0.117141
650.015259,651.527466,0.008253,-0.046985
650.015259,651.453552,0.035466,-0.145492
650.015259,651.422913,0.035466,0.084060
650.015259,650.912537,0.179694,0.184029
650.015259,649.674683,0.179694,0.184837
650.015259,649.733643,0.232647,0.007074
650.015259,649.690063,0.232647,0.263972
650.015259,650.791992,0.193053,0.267935
650.015259,653.130859,0.193053,0.319399
650.015259,651.125732,0.097864,0.270297
650.015259,649.468750,0.097864,0.362527
650.015259,648.239380,0.341933,0.171328
650.015259,648.565979,0.341933,0.036767
650.015259,648.094849,0.401670,0.333457
650.015259,647.491760,0.401670,0.337813
650.015259,648.578674,0.539982,0.612166
650.015259,648.405334,0.539982,0.244815
650.015259,650.913330,0.346447,0.448848
650.015259,651.690125,0.346447,0.362052
650.015259,652.002441,0.056569,0.014831
650.015259,652.528564,0.056569,0.173462
650.015259,652.406006,0.066184,0.105954
650.015259,651.201111,0.066184,-0.197572
650.015259,650.080139,0.111982,-0.061508
650.015259,650.270508,0.111982,-0.138721
650.015259,650.130249,0.179734,0.342069
650.015259,650.531433,0.179734,0.207029
650.015259,652.501709,0.152100,0.028836
650.015259,651.568604,0.152100,-0.059623
650.015259,650.328857,0.022820,0.142743
650.015259,648.940491,0.022820,0.107481
650.015259,649.676819,0.401855,0.302015
650.015259,648.341919,0.401855,0.423643
650.015259,647.688049,0.430427,0.357762
650.015259,647.326294,0.430427,0.360057
650.015259,647.565918,0.452397,0.222976
650.015259,649.897827,0.452397,0.530237
650.015259,652.167725,0.136149,0.430394
650.015259,652.096924,0.136149,0.240515
650.015259,651.471924,0.077701,-0.053693
650.015259,651.042542,0.077701,0.073909
650.015259,650.457520,0.009411,-0.064450
650.015259,650.130310,0.009411,0.037245
650.015259,650.597961,0.274121,0.250741
650.015259,649.897095,0.274121,0.302759
650.015259,649.640259,0.263970,0.259385
650.015259,651.787720,0.263970,0.135545
650.015259,651.545654,-0.105316,-0.050820
650.015259,650.400024,-0.105316,-0.235978
650.015259,648.945435,0.177722,-0.039188
650.015259,648.567444,0.177722,0.300189
650.015259,647.252319,0.385923,0.261103
650.015259,646.678650,0.385923,0.224749
650.015259,647.152039,0.494663,0.425269
650.015259,647.408447,0.494663,0.432315
650.015259,648.907104,0.573475,0.583702
650.015259,651.563660,0.573475,0.520535
650.015259,650.855713,0.063221,0.279531
650.015259,651.487427,0.063221,-0.129402
650.015259,651.339417,0.068838,-0.045169
650.015259,651.432922,0.068838,0.007126
650.015259,650.497253,0.221637,0.311638
650.015259,650.044373,0.221637,0.232371
650.015259,649.808350,0.175801,0.091259
650.015259,649.036438,0.175801,0.240836
650.015259,650.781982,0.270435,0.243535
650.015259,653.221191,0.270435,0.278292
650.015259,651.375671,0.044134,0.241671
650.015259,649.759155,0.044134,0.196542
650.015259,648.475281,0.311374,0.051079
650.015259,648.254883,0.311374,0.014045
650.015259,647.869019,0.417655,0.153237
650.015259,647.775024,0.417655,0.519784
650.015259,648.557312,0.520478,0.589475
650.015259,648.442871,0.520478,0.604992
650.015259,650.061646,0.324836,0.218541
650.015259,651.333679,0.324836,0.387010
650.015259,651.718567,0.110955,0.240289
650.015259,652.270569,0.110955,0.225427
650.015259,651.640259,0.070303,0.223008
650.015259,650.120667,0.070303,0.188244
650.015259,649.853394,0.178866,-0.032474
650.015259,650.443848,0.178866,0.073351
650.015259,650.077087,0.201368,0.077508
650.015259,650.744385,0.201368,0.268219
650.015259,652.602722,0.131111,0.157280
650.015259,651.769958,0.131111,0.073097
650.015259,650.244568,0.025551,0.119389
650.015259,648.894165,0.025551,-0.208989
650.015259,649.075317,0.440927,0.291428
650.015259,648.067688,0.440927,0.462807
650.015259,647.690796,0.472990,0.326646
650.015259,647.126770,0.472990,0.451488
650.015259,647.672852,0.416880,0.289214
650.015259,649.652405,0.416880,0.271515
650.015259,651.928406,0.222319,0.415007
650.015259,651.989014,0.222319,0.365704
650.015259,651.658203,0.109608,-0.056082
650.015259,651.129517,0.109608,0.063969
650.015259,650.441284,-0.013040,0.009754
650.015259,650.193359,-0.013040,0.051409
650.015259,650.354248,0.278690,0.247208
650.015259,649.194580,0.278690,0.431434
