ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.073574,0.216394,0.228559,17.962206
-0.068768,0.231308,0.241314,17.974815
-0.074993,0.229507,0.241448,17.971767
-0.083051,0.230658,0.245154,18.064856
-0.071600,0.217357,0.228847,18.076593
-0.059193,0.207021,0.215317,18.093340
-0.063254,0.208923,0.218288,18.094986
-0.058543,0.208685,0.216741,18.091003
-0.055628,0.209490,0.216750,18.090303
-0.051505,0.209741,0.215972,18.120661
-0.049265,0.211131,0.216803,18.089674
-0.054252,0.209626,0.216533,18.009022
-0.067217,0.219457,0.229520,17.992523
-0.072107,0.221322,0.232772,17.936060
-0.074767,0.227558,0.239527,17.935572
-0.082827,0.229238,0.243742,18.015953
-0.073395,0.217948,0.229975,18.051968
-0.063127,0.210543,0.219803,18.055552
-0.068528,0.214689,0.225361,18.044455
-0.065227,0.216976,0.226568,18.049051
-0.061504,0.211407,0.220172,18.058207
-0.063257,0.210547,0.219844,18.085640
-0.051149,0.200817,0.207229,18.124914
-0.044470,0.206087,0.210830,18.025782
-0.062701,0.221323,0.230033,17.981800
-0.067625,0.228315,0.238119,17.938713
-0.074099,0.234818,0.246232,17.934845
-0.086744,0.236098,0.251529,17.935207
-0.079733,0.224645,0.238376,18.067017
-0.064995,0.212824,0.222527,18.046112
-0.062669,0.211473,0.220563,18.053478
-0.058850,0.217968,0.225773,18.062216
-0.064521,0.222168,0.231347,18.025957
-0.067617,0.220224,0.230371,18.044710
-0.058148,0.211934,0.219766,18.145388
-0.048425,0.212142,0.217599,18.108456
-0.059568,0.222570,0.230404,18.017914
-0.063367,0.221127,0.230028,17.998825
-0.071924,0.232587,0.243454,17.923206
-0.081921,0.231637,0.245697,17.950514
-0.086011,0.237484,0.252580,18.006287
-0.077502,0.238150,0.250444,18.065758
-0.071661,0.217592,0.229089,18.089069
-0.064441,0.213049,0.222581,18.103500
-0.060734,0.209489,0.218116,18.085772
-0.061364,0.207610,0.216489,18.078060
-0.056113,0.210413,0.217767,18.105452
-0.050087,0.204564,0.210607,18.124720
-0.053313,0.211213,0.217838,18.072197
-0.058492,0.212747,0.220642,18.025127
-0.060895,0.222218,0.230411,17.974609
-0.068842,0.222351,0.232764,17.973124
-0.081578,0.225982,0.240255,17.962736
-0.073401,0.239598,0.250589,18.069780
-0.068859,0.219242,0.229802,18.059721
-0.066633,0.213537,0.223691,18.086447
-0.059299,0.212786,0.220894,18.106384
-0.061680,0.213581,0.222309,18.082037
-0.064818,0.215668,0.225198,18.079597
-0.056970,0.215801,0.223194,18.140394
-0.050020,0.205588,0.211586,18.123207
-0.052556,0.208628,0.215146,18.021749
-0.061398,0.229807,0.237867,18.006765
-0.069573,0.224626,0.235154,17.969545
-0.083462,0.226589,0.241472,17.957785
-0.077172,0.239683,0.251800,17.989000
-0.070668,0.215789,0.227066,18.080103
-0.064306,0.209622,0.219264,18.079435
-0.056804,0.214899,0.222280,18.090033
-0.055899,0.215654,0.222781,18.071062
-0.068703,0.216864,0.227487,18.064480
-0.059320,0.222164,0.229948,18.074171
-0.052992,0.201508,0.208360,18.146851
-0.047865,0.207778,0.213221,18.098425
-0.051383,0.225005,0.230797,18.028448
-0.059095,0.219448,0.227266,17.975090
-0.079050,0.231252,0.244390,17.938128
-0.074607,0.246502,0.257545,17.949358
-0.080544,0.233956,0.247432,18.081163
-0.080883,0.224568,0.238690,18.062792
-0.068808,0.211619,0.222525,18.099632
-0.063393,0.215689,0.224812,18.094906
-0.065789,0.212818,0.222754,18.047482
-0.063017,0.214747,0.223802,18.084059
-0.055676,0.208191,0.215507,18.116472
-0.056626,0.209283,0.216808,18.124802
-0.054990,0.215393,0.222302,18.050821
-0.058416,0.211010,0.218947,18.015697
-0.071693,0.218287,0.229759,17.958586
-0.070791,0.225633,0.236477,17.970663
-0.075050,0.228271,0.240292,17.981535
-0.077279,0.228802,0.241500,18.061195
-0.066882,0.222278,0.232122,18.069109
-0.062371,0.211583,0.220584,18.085861
-0.063033,0.207080,0.216461,18.096476
-0.059686,0.208210,0.216596,18.082483
-0.056215,0.210876,0.218240,18.092447
-0.051620,0.210193,0.216439,18.127485
-0.050379,0.212937,0.218815,18.078793
-0.052796,0.211838,0.218318,17.995102
-0.067596,0.222179,0.232234,17.976824
-0.070536,0.229711,0.240297,17.945745
-0.078449,0.233037,0.245887,17.930672
-0.080800,0.233738,0.247310,18.041594
-0.074010,0.216816,0.229099,18.058008
-0.062539,0.211991,0.221023,18.048096
-0.065042,0.214655,0.224293,18.071686
-0.061766,0.216501,0.225139,18.044235
-0.064672,0.218744,0.228104,18.044163
-0.064296,0.214733,0.224152,18.093012
-0.050568,0.207431,0.213506,18.127768
-0.044325,0.205790,0.210510,18.036753
-0.061333,0.222418,0.230719,18.001217
-0.069994,0.222695,0.233436,17.948921
-0.075150,0.238379,0.249944,17.931442
-0.084703,0.240292,0.254784,17.941158
-0.083517,0.226769,0.241660,18.071606
-0.068048,0.214348,0.224890,18.061995
-0.064655,0.209869,0.219603,18.071844
-0.061537,0.217018,0.225574,18.083149
-0.060173,0.216247,0.224463,18.044712
-0.063487,0.218195,0.227244,18.057886
-0.064116,0.214624,0.223997,18.132784
-0.053600,0.212832,0.219478,18.113659
-0.060939,0.217781,0.226146,18.043789
-0.065368,0.219317,0.228851,18.010023
-0.070620,0.227065,0.237793,17.945511
-0.077236,0.227982,0.240710,17.969168
-0.087140,0.226936,0.243091,18.041342
-0.072207,0.232407,0.243365,18.088547
-0.068803,0.215457,0.226176,18.098845
-0.065276,0.205590,0.215704,18.108000
-0.058743,0.209133,0.217227,18.101542
-0.057699,0.206548,0.214456,18.103329
-0.060343,0.211453,0.219895,18.088593
-0.052059,0.209455,0.215827,18.132210
-0.049836,0.210520,0.216339,18.080868
-0.055293,0.212309,0.219391,18.029476
-0.055736,0.221318,0.228228,17.988871
-0.067167,0.222611,0.232523,17.988033
-0.084286,0.229060,0.244075,17.960859
-0.072309,0.241238,0.251842,18.078581
-0.068703,0.219922,0.230404,18.068682
-0.066018,0.215106,0.225009,18.083544
-0.056317,0.216478,0.223683,18.112053
-0.057175,0.214557,0.222044,18.078392
-0.060225,0.216736,0.224948,18.087837
-0.056515,0.219852,0.227000,18.138563
-0.051369,0.208254,0.214496,18.111584
-0.052309,0.209413,0.215848,18.010664
-0.057304,0.228232,0.235316,18.003769
-0.067727,0.221577,0.231697,17.952501
-0.083799,0.230151,0.244932,17.953220
-0.077173,0.240619,0.252692,17.980974
-0.070405,0.216958,0.228095,18.061195
-0.066521,0.208712,0.219056,18.057556
-0.059571,0.212300,0.220500,18.079329
-0.058475,0.211443,0.219380,18.064358
-0.066625,0.213755,0.223897,18.049351
-0.062864,0.218317,0.227188,18.061163
-0.052479,0.203003,0.209677,18.126534
-0.048866,0.209108,0.214742,18.090523
-0.056426,0.220176,0.227291,18.026468
-0.061145,0.216766,0.225224,17.972622
-0.077183,0.230685,0.243255,17.940706
-0.080163,0.243483,0.256340,17.945425
-0.078655,0.229058,0.242186,18.084864
-0.074405,0.218623,0.230937,18.066273
-0.065951,0.212585,0.222580,18.082863
-0.059624,0.210294,0.218583,18.093859
-0.066029,0.211925,0.221973,18.044483
-0.062326,0.214865,0.223722,18.071405
-0.055348,0.209540,0.216727,18.092623
-0.049159,0.212549,0.218159,18.106224
-0.056527,0.214070,0.221408,18.040056
-0.060066,0.212484,0.220811,18.005213
-0.071946,0.218585,0.230121,17.958921
-0.073451,0.223838,0.235581,17.954773
-0.077749,0.235783,0.248271,17.966085
-0.078006,0.233439,0.246127,18.058985
-0.074906,0.221754,0.234063,18.071882
-0.062175,0.212655,0.221558,18.086803
-0.060619,0.209053,0.217665,18.097908
-0.060152,0.211145,0.219546,18.077763
-0.057571,0.214394,0.221989,18.087706
-0.052393,0.215576,0.221851,18.140362
-0.050024,0.213391,0.219176,18.081762
-0.052309,0.214085,0.220382,17.996416
-0.063549,0.223696,0.232548,17.980515
-0.075995,0.225460,0.237923,17.943602
-0.077608,0.234780,0.247275,17.934996
-0.080021,0.233443,0.246778,18.039925
-0.078422,0.224219,0.237538,18.053696
-0.067897,0.213021,0.223580,18.054636
-0.064939,0.211126,0.220887,18.076418
-0.062982,0.213753,0.222839,18.049965
-0.064867,0.216069,0.225596,18.050169
-0.063889,0.214713,0.224016,18.101778
-0.051095,0.208076,0.214258,18.130686
-0.047272,0.204730,0.210117,18.053850
-0.060074,0.219960,0.228015,18.009192
-0.069264,0.222254,0.232797,17.957098
-0.072363,0.235753,0.246609,17.955717
-0.080665,0.235439,0.248874,17.968019
-0.081164,0.219554,0.234076,18.088013
-0.062230,0.213010,0.221914,18.074070
-0.059304,0.209121,0.217368,18.087934
-0.058939,0.211982,0.220023,18.080112
-0.060049,0.219787,0.227842,18.045681
-0.062245,0.219946,0.228584,18.049778
-0.057468,0.207438,0.215251,18.127077
-0.052658,0.213235,0.219641,18.101387
-0.058720,0.222646,0.230259,18.033991
-0.068681,0.219758,0.230240,18.007206
-0.070008,0.229202,0.239656,17.951380
-0.073154,0.231104,0.242406,17.971046
-0.087405,0.229414,0.245500,18.040478
-0.069631,0.234102,0.244238,18.082525
-0.066309,0.216311,0.226247,18.098827
-0.066955,0.210708,0.221091,18.083313
-0.058898,0.214598,0.222534,18.095434
-0.057662,0.212792,0.220467,18.113214
-0.058919,0.210584,0.218671,18.117439
-0.048770,0.210697,0.216268,18.145506
-0.046569,0.212772,0.217808,18.066494
-0.057444,0.211943,0.219590,18.018200
-0.056421,0.227262,0.234161,17.986227
-0.067698,0.221982,0.232076,17.974722
-0.085271,0.228515,0.243906,17.966511
-0.071584,0.238463,0.248975,18.078499
-0.072131,0.222506,0.233906,18.057989
-0.067141,0.212536,0.222889,18.073263
-0.062023,0.213134,0.221975,18.091671
-0.061608,0.212621,0.221367,18.074770
-0.055184,0.214073,0.221072,18.094934
-0.057744,0.210471,0.218248,18.147409
-0.051587,0.208498,0.214785,18.115721
-0.054140,0.209737,0.216612,18.020149
-0.061963,0.224152,0.232559,18.009972
-0.070544,0.218969,0.230052,17.949669
-0.081284,0.225561,0.239760,17.951679
-0.079072,0.234335,0.247316,17.991550
-0.071959,0.214691,0.226430,18.054600
-0.068900,0.207484,0.218624,18.059269
-0.061134,0.213602,0.222178,18.085775
-0.055790,0.210123,0.217404,18.068415
-0.064504,0.212994,0.222547,18.045345
-0.060860,0.218594,0.226908,18.066936
-0.050361,0.204732,0.210835,18.110189
-0.049984,0.208813,0.214712,18.066856
-0.058588,0.221778,0.229386,18.011869
-0.060855,0.217747,0.226090,17.957605
-0.076783,0.229077,0.241603,17.936432
-0.080683,0.241546,0.254665,17.937151
-0.078973,0.229170,0.242395,18.049818
-0.073761,0.222353,0.234268,18.060299
-0.066369,0.214867,0.224884,18.089800
-0.058466,0.211487,0.219420,18.103352
-0.066847,0.216115,0.226217,18.048843
-0.061988,0.214810,0.223575,18.072943
-0.057922,0.213692,0.221403,18.101589
-0.052534,0.212153,0.218560,18.103842
-0.056809,0.224423,0.231502,18.048222
-0.064830,0.218401,0.227820,17.988743
-0.070721,0.227834,0.238558,17.949211
-0.078943,0.231116,0.244227,17.968878
-0.079653,0.233138,0.246370,17.972750
-0.074657,0.233629,0.245267,18.068108
-0.075698,0.224313,0.236741,18.079388
-0.063894,0.212491,0.221889,18.076902
-0.060475,0.210342,0.218863,18.087620
-0.063539,0.210599,0.219976,18.098585
-0.057109,0.207776,0.215482,18.116667
-0.051824,0.208452,0.214797,18.159286
-0.049160,0.211220,0.216865,18.106567
-0.052077,0.209634,0.216006,18.011503
-0.061041,0.221426,0.229686,17.987171
-0.075803,0.221598,0.234204,17.956757
-0.075798,0.235452,0.247352,17.959368
-0.077103,0.233673,0.246065,18.058193
-0.080115,0.224039,0.237932,18.067270
-0.065745,0.214665,0.224507,18.077461
-0.062307,0.214066,0.222949,18.096989
-0.064116,0.213404,0.222828,18.044235
-0.061713,0.213754,0.222484,18.072666
-0.059558,0.216874,0.224904,18.115978
-0.052406,0.207312,0.213833,18.129875
-0.050032,0.207106,0.213064,18.051313
-0.059250,0.221882,0.229657,18.013582
-0.074075,0.218655,0.230862,17.961557
-0.069352,0.236374,0.246338,17.966555
-0.075308,0.235791,0.247525,17.971395
-0.083870,0.221772,0.237102,18.074619
-0.063154,0.217552,0.226533,18.081888
-0.056567,0.206843,0.214439,18.120348
-0.053653,0.210127,0.216868,18.109804
-0.055436,0.219935,0.226814,18.056238
-0.059154,0.218579,0.226442,18.063122
-0.057045,0.211743,0.219292,18.121651
-0.049953,0.214685,0.220420,18.083963
-0.055630,0.225444,0.232206,18.025167
-0.070606,0.219027,0.230126,17.987333
-0.069752,0.230410,0.240737,17.945976
-0.072637,0.232489,0.243572,17.959423
-0.091749,0.229224,0.246904,18.020918
-0.073318,0.234611,0.245801,18.081274
-0.072256,0.213670,0.225557,18.102345
-0.067777,0.211002,0.221620,18.095379
-0.062176,0.209955,0.218968,18.090433
-0.060055,0.212338,0.220667,18.095091
-0.058361,0.205637,0.213759,18.124462
-0.046506,0.212479,0.217509,18.150232
-0.048351,0.209141,0.214657,18.055574
-0.061963,0.206510,0.215605,17.992754
-0.061264,0.223491,0.231736,17.971418
-0.071313,0.224532,0.235585,17.965107
-0.082746,0.227380,0.241968,17.953867
-0.075536,0.233449,0.245365,18.073914
-0.071822,0.223196,0.234467,18.050194
-0.066509,0.210754,0.220999,18.070829
-0.058793,0.213789,0.221726,18.076057
-0.057624,0.210624,0.218364,18.047731
-0.067402,0.212112,0.222564,18.073919
-0.057440,0.216485,0.223976,18.146284
-0.049960,0.209783,0.215650,18.112328
-0.056331,0.210885,0.218279,18.020647
-0.062406,0.222972,0.231540,18.012236
-0.070434,0.223369,0.234210,17.933346
-0.078056,0.226307,0.239390,17.948540
-0.078375,0.234165,0.246933,17.999664
-0.075213,0.219890,0.232397,18.052719
-0.066106,0.209580,0.219758,18.071882
-0.059310,0.212902,0.221009,18.079218
-0.056432,0.211508,0.218907,18.050518
-0.062030,0.217080,0.225769,18.048899
-0.062287,0.218878,0.227568,18.062557
-0.056397,0.211318,0.218715,18.092535
-0.053017,0.209534,0.216137,18.061995
-0.059282,0.221086,0.228896,18.011137
-0.066793,0.223191,0.232971,17.953476
-0.074792,0.228696,0.240616,17.952440
-0.083275,0.235721,0.249999,17.948450
-0.075951,0.230343,0.242542,18.053335
-0.071360,0.222403,0.233571,18.056448
-0.070449,0.214270,0.225554,18.093044
-0.060990,0.210412,0.219073,18.088955
-0.064846,0.213452,0.223085,18.069094
-0.063246,0.214689,0.223812,18.082874
-0.054849,0.206507,0.213667,18.117033
-0.053609,0.211877,0.218554,18.112671
-0.058825,0.218934,0.226699,18.032494
-0.064047,0.220363,0.229482,17.994526
-0.070174,0.226727,0.237338,17.964569
-0.082409,0.228976,0.243354,17.973566
-0.078571,0.238580,0.251185,17.980862
-0.071294,0.234561,0.245157,18.087814
-0.077791,0.221306,0.234580,18.082291
-0.062489,0.216135,0.224987,18.102486
-0.056256,0.208348,0.215809,18.107588
-0.062413,0.208951,0.218073,18.098473
-0.056240,0.209906,0.217310,18.111073
-0.052723,0.212001,0.218459,18.171495
