theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
3.457019,3.834971,21.655077,0.275238
1.390269,1.768981,21.698566,0.261727
5.579987,5.958101,21.664341,0.265131
3.499942,3.878253,21.675638,0.267415
1.440513,1.819783,21.730606,0.265742
5.655942,6.035325,21.736984,0.258137
3.552745,3.930915,21.667542,0.264598
1.443925,1.821029,21.606461,0.270122
5.623324,6.000076,21.586304,0.272847
3.515532,3.891824,21.559914,0.279764
1.468436,1.846656,21.670418,0.278578
5.670760,6.049108,21.677774,0.266146
3.589562,3.967964,21.680830,0.268451
1.498904,1.876992,21.662855,0.267478
5.705483,6.083821,21.677172,0.264512
3.670989,4.051144,21.781267,0.253860
1.553991,1.932090,21.663433,0.263550
5.740857,6.118430,21.633305,0.267691
3.627801,4.004341,21.574144,0.271659
1.535697,1.912403,21.583679,0.284429
5.767781,6.146398,21.693148,0.287491
3.680961,4.059240,21.673796,0.256905
1.604924,1.983413,21.685816,0.261325
5.797282,6.175265,21.656858,0.263509
3.720237,4.098534,21.674803,0.261923
1.657201,2.036206,21.715372,0.265833
5.874895,6.254069,21.725075,0.265125
3.761356,4.138955,21.634811,0.267278
1.663947,2.041030,21.605261,0.262559
5.840431,6.216977,21.574484,0.282809
3.740695,4.117079,21.565189,0.283849
1.697688,2.076018,21.676693,0.274489
5.892794,6.270831,21.659933,0.274806
3.818118,4.196463,21.677570,0.266534
1.722806,2.100542,21.642683,0.264882
5.938990,0.034180,21.679316,0.263006
3.896108,4.275869,21.758705,0.259301
1.793181,2.171458,21.673637,0.253504
5.978851,0.073315,21.637712,0.260407
3.843880,4.219476,21.520048,0.277053
1.761111,2.137424,21.561152,0.276243
5.979371,0.073877,21.640144,0.288368
3.889155,4.266606,21.626354,0.285806
1.814017,2.191927,21.652628,0.270317
6.004908,0.099270,21.631880,0.269194
3.921174,4.298850,21.639215,0.274807
1.860065,2.238729,21.695908,0.274330
6.086380,0.182522,21.733910,0.257323
3.964223,4.341570,21.620409,0.261347
1.873859,2.251001,21.608637,0.271132
6.038536,0.131479,21.550575,0.272978
3.944587,4.320896,21.560942,0.283161
1.893737,2.271727,21.657255,0.281907
6.091528,0.186244,21.652132,0.265487
4.019788,4.398175,21.679995,0.265977
1.912940,2.290285,21.620260,0.264961
6.135186,0.230373,21.679192,0.265702
4.080224,4.459513,21.731672,0.261586
1.978912,2.356985,21.661938,0.265382
6.163430,0.257665,21.624586,0.272986
4.041251,4.417248,21.543020,0.269016
1.948981,2.325229,21.557417,0.296082
6.188237,0.283533,21.685394,0.291381
4.105865,4.484249,21.679811,0.260093
2.020511,2.398697,21.668497,0.260784
6.217654,0.312463,21.657505,0.268728
4.143374,4.521759,21.679834,0.270377
2.084031,2.463298,21.730371,0.259781
0.018811,0.398267,21.741217,0.267633
4.191710,4.569674,21.655695,0.264313
2.092056,2.469351,21.617407,0.262857
6.262878,0.356197,21.572105,0.286381
4.172851,4.549684,21.590927,0.287351
2.123302,2.501704,21.680864,0.277467
0.043569,0.422048,21.685263,0.276251
4.247338,4.625827,21.685829,0.266522
2.152404,2.530346,21.654472,0.268730
0.077538,0.455814,21.673569,0.273724
4.317737,4.697412,21.753826,0.264662
2.218417,2.596870,21.683746,0.260685
0.121679,0.499489,21.646900,0.266833
4.282832,4.659153,21.561613,0.277624
2.196074,2.572773,21.583202,0.275028
0.147826,0.526439,21.692919,0.279910
4.340503,4.718653,21.666428,0.278181
2.265679,2.644159,21.685261,0.273738
0.177852,0.555992,21.665827,0.271969
4.382104,4.760367,21.672907,0.277419
2.349750,2.730021,21.787924,0.269216
0.263288,0.642608,21.733469,0.254961
4.436584,4.814434,21.649223,0.262153
2.327219,2.704003,21.588114,0.284942
0.231088,0.607813,21.584738,0.277759
