omega_ref,omega_pll,Iq_ref,Iq_meas
1199.969482,1194.654785,0.990460,1.003136
1199.969482,1201.465454,0.990460,1.023612
1199.969482,1200.549561,0.042166,0.362424
1199.969482,1201.739990,0.042166,0.213723
1199.969482,1200.650146,0.134929,0.110579
1199.969482,1201.377808,0.134929,0.051789
1199.969482,1203.932373,0.202802,0.065089
1199.969482,1204.012329,0.202802,-0.014108
1199.969482,1200.728271,-0.058821,-0.247153
1199.969482,1197.552246,-0.058821,0.126314
1199.969482,1196.456055,0.610434,0.767097
1199.969482,1195.775269,0.610434,0.794350
1199.969482,1201.779297,0.624250,0.779431
1199.969482,1201.621582,0.624250,0.578517
1199.969482,1200.864624,0.175596,0.151753
1199.969482,1200.826050,0.175596,0.148574
1199.969482,1200.289429,0.228508,0.213590
1199.969482,1207.137207,0.228508,0.520932
1199.969482,1202.192871,-0.365202,-0.454070
1199.969482,1200.016113,-0.365202,-0.405847
1199.969482,1195.113403,0.345739,0.103242
1199.969482,1195.667114,0.345739,0.467565
1199.969482,1200.526001,0.845277,0.787376
1199.969482,1199.305542,0.845277,0.811894
1199.969482,1201.429199,0.330162,0.647017
1199.969482,1200.073853,0.330162,0.394448
1199.969482,1200.911255,0.339853,0.713381
1199.969482,1203.766602,0.339853,0.465942
1199.969482,1205.239624,-0.460538,-0.870202
1199.969482,1199.093384,-0.460538,-0.637949
1199.969482,1195.877075,0.349973,0.617345
1199.969482,1195.536377,0.349973,0.588943
1199.969482,1194.925049,0.734526,0.639506
1199.969482,1200.512451,0.734526,0.685908
1199.969482,1200.582520,0.248435,0.256683
1199.969482,1201.507813,0.248435,0.235434
1199.969482,1198.927490,0.214739,0.273651
1199.969482,1199.932373,0.214739,0.381860
1199.969482,1204.962036,0.202620,0.208763
1199.969482,1200.384644,0.202620,0.314583
1199.969482,1198.979248,0.193681,0.313030
1199.969482,1194.234009,0.193681,0.517183
1199.969482,1195.907837,0.776657,0.583964
1199.969482,1201.577271,0.776657,0.619637
1199.969482,1200.971069,-0.057004,-0.056621
1199.969482,1201.536865,-0.057004,0.059718
1199.969482,1200.010864,-0.047811,-0.049398
1199.969482,1200.511353,-0.047811,-0.015476
1199.969482,1201.684937,0.162678,0.226172
1199.969482,1203.067505,0.162678,-0.049093
1199.969482,1197.603760,-0.003571,0.003325
1199.969482,1196.730957,-0.003571,0.139004
1199.969482,1194.710083,0.752335,0.369497
1199.969482,1195.001099,0.752335,0.360608
1199.969482,1200.279419,0.515627,0.244394
1199.969482,1199.779663,0.515627,0.293482
1199.969482,1200.931152,0.143233,0.078460
1199.969482,1198.578979,0.143233,0.141807
1199.969482,1201.853394,0.191234,0.289611
1199.969482,1204.966553,0.191234,0.191855
1199.969482,1200.518311,-0.348494,-0.297171
1199.969482,1198.299805,-0.348494,-0.309529
1199.969482,1192.573486,0.302222,0.458948
1199.969482,1194.078613,0.302222,0.294758
1199.969482,1198.954590,0.874945,0.516535
1199.969482,1198.777710,0.874945,0.673644
1199.969482,1200.242310,0.400559,0.346884
1199.969482,1198.943604,0.400559,-0.025257
1199.969482,1200.286011,0.520325,0.038147
1199.969482,1204.528198,0.520325,0.341404
1199.969482,1204.384277,-0.295487,-0.517976
1199.969482,1199.036133,-0.295487,-0.221685
1199.969482,1197.629883,0.361725,0.174344
1199.969482,1195.670898,0.361725,0.154944
1199.969482,1196.433472,0.747635,0.248843
1199.969482,1201.333130,0.747635,0.304315
1199.969482,1201.086914,0.223539,0.100158
1199.969482,1202.269409,0.223539,0.106462
1199.969482,1200.142578,0.043193,0.174283
1199.969482,1202.115967,0.043193,-0.051439
1199.969482,1205.120728,-0.019382,-0.034745
1199.969482,1201.111206,-0.019382,-0.476517
1199.969482,1199.715942,0.315248,-0.110510
1199.969482,1194.846191,0.315248,0.062255
1199.969482,1195.216431,0.963590,0.600041
1199.969482,1202.485596,0.963590,0.932784
1199.969482,1201.791626,0.130528,0.319552
1199.969482,1202.294312,0.130528,0.000000
1199.969482,1201.472656,0.123898,-0.077821
1199.969482,1201.366821,0.123898,0.045821
1199.969482,1206.759155,0.113009,0.215145
1199.969482,1203.646484,0.113009,-0.079631
1199.969482,1200.095459,-0.078945,0.069655
1199.969482,1197.856079,-0.078945,0.039260
1199.969482,1196.573486,0.592366,0.645448
1199.969482,1198.046509,0.592366,0.498225
1199.969482,1201.449219,0.275266,-0.023294
1199.969482,1201.838013,0.275266,0.261337
1199.969482,1200.872803,0.183373,0.071101
1199.969482,1200.948242,0.183373,0.261538
1199.969482,1201.124878,0.275921,0.248137
1199.969482,1205.677368,0.275921,-0.014582
1199.969482,1200.934937,-0.156641,-0.524545
1199.969482,1199.588257,-0.156641,-0.369200
1199.969482,1194.928467,0.408588,0.234951
1199.969482,1195.261230,0.408588,0.203823
1199.969482,1201.906372,0.706109,0.767261
1199.969482,1200.068237,0.706109,0.680473
1199.969482,1200.748047,0.186499,0.103695
1199.969482,1200.110840,0.186499,-0.115893
1199.969482,1201.300781,0.251936,0.084464
1199.969482,1206.092651,0.251936,0.234921
1199.969482,1204.171021,-0.527435,-0.761563
1199.969482,1199.845459,-0.527435,-0.416164
