raw21,omega_pll_rad_s,Iq_ref,dbg_iq_a
1333791.000000,10.722328,0.211686,0.180755
1332083.000000,10.432035,0.211686,0.240387
1330378.000000,10.181025,0.217457,0.203154
1328654.000000,10.083273,0.217457,0.203487
1326921.000000,10.046412,0.220020,0.212357
1325226.000000,9.789889,0.220020,0.207086
1323512.000000,9.720482,0.222736,0.229287
1321813.000000,9.740189,0.222736,0.208352
1320105.000000,9.836845,0.222883,0.231732
1318376.000000,10.038710,0.222883,0.215748
1316627.000000,10.345151,0.219611,0.217104
1314906.000000,10.486882,0.219611,0.235242
1313140.000000,10.777023,0.214251,0.243545
1311312.000000,11.211617,0.214251,0.205772
1309505.000000,11.451458,0.207999,0.136202
1307641.000000,11.873134,0.207999,0.267192
1305690.000000,12.450909,0.200646,0.318654
1303753.000000,12.729112,0.200646,0.258001
1301734.000000,13.119048,0.191368,0.258135
1299604.000000,13.681953,0.191368,0.200036
1297371.000000,14.334770,0.182507,0.218195
1295022.000000,15.091860,0.182507,0.262170
1292544.000000,15.778289,0.167422,0.350174
1289905.000000,16.586393,0.167422,0.161411
1287181.000000,17.229454,0.153987,0.203483
1284278.000000,17.978045,0.153987,0.211025
1281269.000000,18.391504,0.139168,0.179264
1278030.000000,19.061272,0.139168,0.489421
1274852.000000,19.098770,0.129894,0.195749
1271548.000000,19.233566,0.129894,0.293656
1268299.000000,18.868164,0.128470,-0.014879
1264957.000000,18.657314,0.128470,0.201743
1261767.000000,18.181036,0.135681,0.156589
1258562.000000,17.778664,0.135681,0.047509
1255434.000000,17.371132,0.144427,0.155714
1252360.000000,17.122349,0.144427,0.102106
1249218.000000,17.483566,0.146626,0.117104
1246215.000000,17.485229,0.146626,0.096447
1243232.000000,17.523130,0.146205,-0.115737
1240178.000000,17.866726,0.146205,-0.207008
1237220.000000,17.857758,0.141048,0.244174
1234301.000000,17.576593,0.141048,0.315101
1231363.000000,17.208496,0.145197,0.082143
1228306.000000,17.134752,0.145197,0.071461
1225341.000000,16.859619,0.149879,0.229923
1222356.000000,16.512892,0.149879,0.192778
1219402.000000,16.198711,0.156229,0.000426
1216491.000000,15.903105,0.156229,0.119712
1213573.000000,15.704764,0.163086,0.140783
1210643.000000,15.582611,0.163086,0.187475
1207702.000000,15.283211,0.166376,0.160955
1204933.000000,14.688253,0.166376,0.165581
1202133.000000,14.350895,0.173996,0.211140
1199430.000000,13.810283,0.173996,0.170992
1196814.000000,13.318773,0.184500,0.234967
1194241.000000,12.896406,0.184500,0.311964
1191751.000000,12.636406,0.192574,0.142931
1189314.000000,12.570671,0.192574,0.212944
1186969.000000,12.402758,0.195232,0.168758
1184597.000000,12.483113,0.195232,0.267381
1182296.000000,12.568604,0.195850,0.217160
1180055.000000,12.552448,0.195850,0.188887
1177860.000000,12.547609,0.194133,0.180652
1175618.000000,12.809705,0.194133,0.268044
1173369.000000,12.999415,0.190774,0.234027
1171153.000000,13.136982,0.190774,0.241544
1168909.000000,13.230478,0.187695,0.237092
1166648.000000,13.468027,0.187695,0.194278
