raw21,omega_pll,Iq_ref,Iq_meas
670981.000000,16.407747,0.148518,0.189748
668210.000000,16.140583,0.158654,0.203646
665606.000000,15.576591,0.158654,0.362278
662992.000000,15.287130,0.167186,0.362953
660493.000000,14.832030,0.167186,0.124394
657948.000000,14.717987,0.172880,0.234647
655407.000000,14.732805,0.172880,0.392535
652846.000000,14.859539,0.171466,0.396077
650254.000000,15.086403,0.171466,0.159510
647639.000000,15.339132,0.166667,0.168436
644883.000000,15.962352,0.166667,0.126108
642106.000000,16.437159,0.155672,-0.165565
639403.000000,16.493702,0.155672,0.060582
636659.000000,16.597326,0.154054,0.345985
633983.000000,16.435709,0.154054,-0.035950
631363.000000,16.133295,0.158683,-0.091402
628789.000000,15.750596,0.158683,0.039551
626152.000000,15.692416,0.163085,0.250521
623649.000000,15.281144,0.163085,0.043361
621143.000000,15.019266,0.169817,0.108401
618711.000000,14.647633,0.169817,0.214385
616309.000000,14.352692,0.176489,-0.058054
613869.000000,14.302464,0.176489,-0.012728
611474.000000,14.186508,0.178159,0.266422
609044.000000,14.233384,0.178159,0.139994
606605.000000,14.348999,0.176540,0.488949
604032.000000,14.839730,0.176540,0.089586
601383.000000,15.448794,0.165538,0.181846
598689.000000,15.989214,0.165538,0.347492
595824.000000,16.830421,0.151703,0.229149
592845.000000,17.687273,0.151703,0.147554
589784.000000,18.426737,0.135706,0.174244
586602.000000,19.196325,0.135706,0.169589
583334.000000,19.863455,0.121290,0.092204
580016.000000,20.359243,0.121290,0.150821
576685.000000,20.612799,0.113741,0.187548
573337.000000,20.707245,0.113741,0.078343
570006.000000,20.621418,0.113598,0.164214
566708.000000,20.391474,0.113598,0.117170
563456.000000,20.042824,0.119334,0.127146
560108.000000,20.048311,0.119334,0.135247
556961.000000,19.443621,0.125281,0.107581
553775.000000,19.159559,0.125281,0.152160
550686.000000,18.680918,0.132871,0.139416
547606.000000,18.373625,0.132871,0.185291
544472.000000,18.350712,0.136140,0.125337
541414.000000,18.170563,0.136140,0.142040
538344.000000,18.130102,0.138315,0.178940
535234.000000,18.270712,0.138315,0.127146
532161.000000,18.281219,0.136771,0.105114
529085.000000,18.321461,0.136771,0.252667
526020.000000,18.317965,0.136370,0.026760
522943.000000,18.362322,0.136370,0.137649
519900.000000,18.289362,0.136623,0.113905
516879.000000,18.176306,0.136623,0.062517
513873.000000,18.044888,0.139038,0.072540
510922.000000,17.793903,0.139038,0.154807
508070.000000,17.334909,0.146114,0.124424
505261.000000,16.911331,0.146114,0.075318
502579.000000,16.285807,0.156592,0.194806
500007.000000,15.570605,0.156592,0.091625
497506.000000,14.927639,0.170175,0.349604
495118.000000,14.233415,0.170175,0.112032
492829.000000,13.544586,0.184020,0.117659
490602.000000,12.990587,0.184020,0.371192
488446.000000,12.514313,0.194347,0.007564
486380.000000,12.024927,0.194347,0.476256
484325.000000,11.768345,0.201839,0.089740
482314.000000,11.565853,0.201839,-0.034667
480314.000000,11.494230,0.204616,-0.030737
478339.000000,11.430100,0.204616,0.264234
476371.000000,11.427945,0.205314,0.200030
474400.000000,11.484866,0.205314,0.294072
472418.000000,11.590182,0.203726,0.197017
470432.000000,11.697605,0.203726,0.469617
468447.000000,11.778619,0.201874,0.169671
466440.000000,11.910459,0.201874,0.137069
464441.000000,11.978849,0.199902,0.002748
462397.000000,12.179726,0.199902,0.139112
460417.000000,12.087350,0.198846,0.361037
458399.000000,12.123375,0.198846,0.232531
456433.000000,11.981189,0.199937,0.230314
454449.000000,11.924462,0.199937,0.070921
452501.000000,11.772730,0.202054,-0.008038
450536.000000,11.720105,0.202054,0.177065
