dbg_id_a,dbg_iq_a,omega_diff,omega_pll
0.023171,0.097297,49.734116,49.182556
-0.123144,0.270060,50.153732,49.682564
-0.108641,0.342458,49.257278,49.528538
-0.337870,0.170654,48.532486,48.941685
-0.256485,0.250944,48.236847,48.782871
-0.064749,0.371643,50.210953,49.305054
0.013117,0.363060,50.516129,49.962967
-0.286544,0.275123,49.676895,49.937809
-0.053820,0.218557,50.935745,50.173405
0.043250,0.150515,51.174164,50.960720
-0.003772,0.225055,51.527023,51.399300
0.102326,0.095990,48.713684,51.194794
0.167737,0.035074,51.288605,51.250893
0.011906,0.046012,50.334930,51.207989
-0.094743,0.103482,51.479340,51.193657
-0.084576,0.207817,50.392151,50.906132
-0.085329,0.114233,50.334930,50.895634
-0.085971,0.040554,52.671432,50.978363
-0.008054,0.171175,49.076080,50.381634
-0.147481,-0.052674,45.423508,48.935329
0.307062,0.327720,46.501160,47.849838
-0.020510,0.160368,47.931671,47.570534
0.351665,0.532219,50.334930,48.212055
0.251437,0.339459,48.055649,48.723816
0.074164,0.260912,49.490929,48.768757
-0.191736,0.396459,47.936440,48.541306
-0.164512,0.399724,47.039986,48.133274
-0.139064,0.505890,49.195290,48.124901
0.164176,0.282595,54.106712,49.448959
0.023048,0.316976,58.898926,51.579781
0.010431,0.298796,53.510666,52.670101
-0.011987,0.094297,49.915314,52.348446
0.029875,0.008695,52.127838,51.855133
0.069095,0.088381,52.733421,51.950710
0.059234,-0.040676,52.013397,51.962955
-0.041858,-0.221160,48.775673,51.621586
-0.088711,-0.117266,53.091049,51.455429
0.021486,0.138647,49.796104,51.347462
-0.176919,-0.001246,47.216415,50.205021
-0.218521,-0.002897,47.516823,49.219269
0.107691,0.190164,46.501160,48.733295
0.062073,0.308571,49.257278,48.994007
-0.192672,0.292961,47.454834,49.035130
0.078626,0.228531,52.671432,48.845203
0.003680,0.207136,54.049492,48.449757
-0.061143,0.399838,50.153732,48.870693
0.118641,0.406627,47.760010,49.241383
0.112883,0.278012,46.677589,48.653168
0.138740,0.126196,53.572655,49.251545
-0.078001,0.191924,49.853325,50.264034
-0.097190,0.280448,50.153732,50.808270
-0.087225,-0.063317,49.915314,50.770672
-0.028047,0.245365,51.951408,51.309887
-0.138515,-0.038292,50.873756,51.208534
-0.041333,0.058777,50.392151,51.428646
0.058838,0.166853,48.594475,50.535717
0.010965,0.077531,49.433708,50.096798
-0.106169,-0.036242,49.376488,50.876568
0.197053,0.108785,48.418045,50.508060
0.147994,0.072142,48.294067,49.916664
0.086547,0.039309,47.216415,49.354439
-0.098012,0.132289,47.397614,48.712101
-0.170322,0.249629,46.434402,47.618664
-0.061154,0.499256,47.397614,46.952896
-0.079001,0.553000,51.350594,48.184704
0.049363,0.339155,50.930977,49.604317
-0.022834,0.373106,49.076080,50.254650
0.053781,-0.003450,47.817230,49.953697
-0.060131,0.253917,49.195290,49.117020
0.000556,0.271248,59.442520,50.083656
0.081647,0.507568,53.448677,50.892204
0.113411,0.128467,49.972534,51.694237
-0.064011,0.009885,54.044724,52.097202
-0.066022,0.068386,51.116943,51.807587
-0.154943,-0.022757,49.252510,50.983120
-0.309913,-0.027645,50.516129,50.248619
0.012705,0.143148,50.992966,50.447166
0.274242,0.231405,50.215721,51.162449
0.129661,0.196704,50.272942,51.196960
-0.088604,0.196515,49.076080,50.520554
