dbg_omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep.active
106.198891,0.227378,0.195324,0.000000
104.997192,0.261185,0.170804,0.000000
102.092239,0.010307,0.170804,0.000000
102.947441,0.136077,0.205341,0.000000
103.290764,-0.144756,0.205341,0.000000
99.349045,0.417535,0.206691,0.000000
99.955849,0.132788,0.206691,0.000000
103.785126,0.311672,0.206674,0.000000
102.428574,0.189170,0.206674,0.000000
100.910347,0.124738,0.210849,0.000000
103.255371,0.265985,0.210849,0.000000
101.834320,0.373470,0.192274,0.000000
97.760925,0.068696,0.192274,0.000000
96.932663,0.389984,0.257843,0.000000
97.984772,0.210208,0.257843,0.000000
93.969070,0.241254,0.253997,0.000000
89.732605,0.363800,0.253997,0.000000
93.593750,0.142583,0.321387,0.000000
95.366661,0.346672,0.321387,0.000000
92.664825,0.133599,0.285652,0.000000
97.510399,0.419904,0.285652,0.000000
104.289314,0.050528,0.214642,0.000000
105.058983,0.116701,0.214642,0.000000
106.231667,0.083755,0.176121,0.000000
111.478371,0.121064,0.176121,0.000000
113.455711,0.120937,0.093931,0.000000
110.246567,0.171363,0.093931,0.000000
109.955025,0.152803,0.134254,0.000000
111.374069,0.052297,0.134254,0.000000
105.204475,0.547319,0.128278,0.000000
100.679909,0.338983,0.128278,0.000000
101.150284,0.136003,0.217783,0.000000
98.450294,0.047801,0.217783,0.000000
93.435135,0.065326,0.260950,0.000000
93.132538,0.334678,0.260950,0.000000
95.552330,0.220716,0.280804,0.000000
95.003944,0.332222,0.280804,0.000000
92.769234,0.175001,0.288054,0.000000
97.685150,0.191637,0.288054,0.000000
100.903801,0.292324,0.225564,0.000000
99.556389,0.419525,0.225564,0.000000
104.146561,0.046828,0.217495,0.000000
105.586929,0.081385,0.217495,0.000000
101.063171,0.176322,0.182023,0.000000
97.156380,0.216207,0.182023,0.000000
96.919754,0.207488,0.259532,0.000000
96.212952,0.317684,0.259532,0.000000
90.395233,0.227707,0.282340,0.000000
88.170830,0.262089,0.282340,0.000000
90.514908,0.271845,0.333312,0.000000
87.285889,0.476274,0.333312,0.000000
84.840034,0.185874,0.371433,0.000000
89.770538,0.250451,0.371433,0.000000
91.241394,0.303335,0.316003,0.000000
90.871819,0.266524,0.316003,0.000000
92.571968,0.558148,0.318808,0.000000
98.780807,0.300015,0.318808,0.000000
100.861671,0.265348,0.225411,0.000000
99.199944,0.465505,0.225411,0.000000
104.095718,0.270215,0.219454,0.000000
106.598114,0.005481,0.219454,0.000000
102.493073,0.118990,0.176582,0.000000
103.494102,0.236186,0.176582,0.000000
106.139893,0.179317,0.176313,0.000000
104.373428,0.096432,0.176313,0.000000
101.473892,0.046563,0.195938,0.000000
102.626015,0.029366,0.195938,0.000000
103.491592,0.210871,0.191319,0.000000
99.867943,0.419340,0.191319,0.000000
100.146812,0.049122,0.236512,0.000000
104.639893,0.209535,0.236512,0.000000
102.137299,0.221001,0.180232,0.000000
99.956352,0.124371,0.180232,0.000000
105.274963,0.427930,0.209869,0.000000
106.208168,0.198735,0.209869,0.000000
99.804054,0.176126,0.190038,0.000000
96.750404,0.081261,0.190038,0.000000
97.345665,0.052214,0.256421,0.000000
93.584740,-0.063081,0.256421,0.000000
88.915535,0.279595,0.314412,0.000000
92.330551,0.306414,0.314412,0.000000
94.377159,0.273581,0.283686,0.000000
91.828407,0.288886,0.283686,0.000000
96.172356,0.433088,0.299822,0.000000
102.367729,0.234553,0.299822,0.000000
104.881294,0.667563,0.184856,0.000000
106.501900,0.263511,0.184856,0.000000
112.859825,0.187271,0.139554,0.000000
116.040459,0.037676,0.139554,0.000000
112.347824,0.106833,0.073638,0.000000
111.659927,0.127197,0.073638,0.000000
113.973083,0.191391,0.094132,0.000000
107.868034,0.170610,0.094132,0.000000
103.415367,-0.029650,0.174857,0.000000
103.357849,0.037218,0.174857,0.000000
100.193054,0.012939,0.197926,0.000000
95.141548,0.107575,0.197926,0.000000
94.214249,0.232797,0.285554,0.000000
96.636391,0.235271,0.285554,0.000000
95.526337,0.171007,0.258649,0.000000
94.382774,0.344270,0.258649,0.000000
99.664108,0.194626,0.264739,0.000000
103.307693,0.362504,0.264739,0.000000
101.033401,0.346492,0.202937,0.000000
103.371071,0.217224,0.202937,0.000000
106.200500,0.198514,0.178103,0.000000
101.937805,0.196373,0.178103,0.000000
97.665253,0.127473,0.226959,0.000000
98.010635,0.212899,0.226959,0.000000
97.020287,0.202749,0.244825,0.000000
90.893608,0.153360,0.244825,0.000000
90.040771,0.512790,0.329359,0.000000
91.842583,0.491315,0.329359,0.000000
88.265472,-0.035020,0.315273,0.000000
86.585060,0.358636,0.315273,0.000000
91.082550,0.414279,0.345255,0.000000
93.430298,0.319302,0.345255,0.000000
93.272858,0.276085,0.296327,0.000000
96.039337,0.217584,0.296327,0.000000
102.462959,0.251146,0.240838,0.000000
102.870270,0.233050,0.240838,0.000000
100.990189,0.245402,0.207374,0.000000
105.711334,0.134374,0.207374,0.000000
106.818214,0.164151,0.151603,0.000000
102.954460,0.241614,0.151603,0.000000
104.485786,0.178114,0.196579,0.000000
106.362343,0.162640,0.196579,0.000000
105.080971,0.262221,0.170219,0.000000
102.149139,0.566267,0.170219,0.000000
103.151344,0.268971,0.203130,0.000000
103.434135,0.219905,0.203130,0.000000
99.617111,0.197802,0.204972,0.000000
100.434952,0.159314,0.204972,0.000000
