omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
150.301758,0.289307,0.251437,0.000000
150.006912,0.221715,0.251437,0.000000
150.668121,0.313321,0.252441,0.000000
149.641891,0.647041,0.252441,0.000000
150.669083,0.222133,0.253704,0.000000
150.149445,0.218020,0.253704,0.000000
150.057938,0.345813,0.261143,0.000000
150.317764,0.206729,0.261143,0.000000
150.440796,0.314212,0.257667,0.000000
151.155594,0.250594,0.257667,0.000000
150.262466,0.368654,0.248891,0.000000
150.417114,0.194544,0.248891,0.000000
150.143875,0.203350,0.248786,0.000000
150.116989,0.242144,0.248786,0.000000
149.986725,0.194302,0.251567,0.000000
149.536331,0.398312,0.251567,0.000000
150.867279,0.459363,0.244826,0.000000
150.199417,0.243769,0.244826,0.000000
150.587112,0.323918,0.255224,0.000000
149.615250,0.256706,0.255224,0.000000
150.823746,0.246967,0.254452,0.000000
151.265030,0.029345,0.254452,0.000000
150.773178,0.163675,0.254535,0.000000
150.780502,0.273973,0.254535,0.000000
150.371582,0.254642,0.248202,0.000000
151.231140,0.193336,0.248202,0.000000
150.290619,0.228557,0.245570,0.000000
150.101837,0.447149,0.245570,0.000000
150.160004,0.211254,0.244715,0.000000
150.211304,0.276396,0.244715,0.000000
151.118362,0.351739,0.250918,0.000000
149.843521,0.326346,0.250918,0.000000
151.315689,0.216544,0.244684,0.000000
150.605530,0.274511,0.244684,0.000000
150.868942,0.313282,0.255915,0.000000
149.829666,0.160213,0.255915,0.000000
149.979752,0.235241,0.255006,0.000000
149.842514,0.206788,0.255006,0.000000
149.884293,0.244857,0.255133,0.000000
149.772446,0.692126,0.255133,0.000000
149.690659,0.524429,0.250218,0.000000
150.179047,0.299258,0.250218,0.000000
150.094971,0.264675,0.255155,0.000000
149.356323,0.200239,0.255155,0.000000
150.368057,0.237641,0.245430,0.000000
149.999130,0.311625,0.245430,0.000000
151.205246,0.372263,0.251125,0.000000
149.518463,0.293983,0.251125,0.000000
150.910889,0.209103,0.251415,0.000000
150.221512,0.235965,0.251415,0.000000
151.312347,0.312749,0.258824,0.000000
150.159195,-0.069049,0.258824,0.000000
150.410965,0.257403,0.246230,0.000000
150.496643,0.302586,0.246230,0.000000
150.423706,0.271139,0.252708,0.000000
150.018661,0.254605,0.252708,0.000000
149.834244,0.265725,0.244965,0.000000
150.376419,0.232473,0.244965,0.000000
150.899704,0.072937,0.251111,0.000000
149.368362,0.238887,0.251111,0.000000
150.808197,0.226014,0.248982,0.000000
149.890823,0.322033,0.248982,0.000000
151.166992,0.256384,0.257813,0.000000
149.590271,0.204560,0.257813,0.000000
150.785950,0.023698,0.246008,0.000000
150.452072,0.368390,0.246008,0.000000
150.843353,0.286859,0.255652,0.000000
150.509476,0.326997,0.255652,0.000000
150.125290,0.362838,0.240141,0.000000
150.880707,0.374699,0.240141,0.000000
150.637512,0.459269,0.241492,0.000000
149.919632,0.106994,0.241492,0.000000
150.983948,0.226047,0.241843,0.000000
149.710815,0.228311,0.241843,0.000000
152.107468,0.228530,0.249322,0.000000
149.465942,0.132386,0.249322,0.000000
150.918945,0.256151,0.246123,0.000000
149.759766,0.318931,0.246123,0.000000
150.960846,0.279765,0.258120,0.000000
149.700455,0.306012,0.258120,0.000000
149.833847,0.335729,0.252198,0.000000
149.936630,0.276092,0.252198,0.000000
149.960678,0.178807,0.253467,0.000000
149.783173,0.268510,0.253467,0.000000
149.394867,0.236320,0.248903,0.000000
149.987778,0.245477,0.248903,0.000000
150.816132,-0.061111,0.248330,0.000000
149.648117,0.386253,0.248330,0.000000
150.787643,0.367567,0.244601,0.000000
149.045654,0.332538,0.244601,0.000000
152.176041,0.288412,0.251176,0.000000
150.089920,0.284783,0.251176,0.000000
151.533417,0.225124,0.240812,0.000000
150.679886,0.484351,0.240812,0.000000
151.457275,0.225502,0.246931,0.000000
150.864334,0.263570,0.246931,0.000000
149.890839,0.179352,0.241508,0.000000
150.230972,0.258436,0.241508,0.000000
150.264694,0.021739,0.249790,0.000000
150.110596,0.278814,0.249790,0.000000
150.127716,0.315033,0.244811,0.000000
149.474518,0.162597,0.244811,0.000000
151.154816,0.234678,0.247942,0.000000
149.335861,0.322252,0.247942,0.000000
150.966934,0.128115,0.245687,0.000000
149.501190,0.386484,0.245687,0.000000
151.857544,0.281315,0.245940,0.000000
150.489609,0.297905,0.245940,0.000000
151.152634,0.155826,0.244963,0.000000
151.086029,0.278556,0.244963,0.000000
150.876312,-0.078461,0.239471,0.000000
151.003159,0.412837,0.239471,0.000000
150.006714,0.217208,0.245321,0.000000
150.526001,0.219167,0.245321,0.000000
151.558075,0.199223,0.239044,0.000000
150.955505,0.231018,0.239044,0.000000
152.420639,0.151741,0.229746,0.000000
150.274017,0.476295,0.229746,0.000000
152.217896,0.212858,0.236903,0.000000
150.036285,0.259547,0.236903,0.000000
150.644577,0.175935,0.247008,0.000000
149.268265,0.265194,0.247008,0.000000
150.073502,0.295653,0.256723,0.000000
150.047165,0.105971,0.256723,0.000000
149.608307,0.142161,0.255273,0.000000
149.740768,0.330994,0.255273,0.000000
150.511627,0.194753,0.247064,0.000000
150.964066,0.097151,0.247064,0.000000
150.711075,0.151586,0.244068,0.000000
150.369217,0.181343,0.244068,0.000000
151.378403,0.021854,0.236507,0.000000
149.789200,0.273372,0.236507,0.000000
151.341919,0.174297,0.241926,0.000000
149.334671,0.275720,0.241926,0.000000
152.031250,0.167814,0.242034,0.000000
150.996613,0.262512,0.242034,0.000000
150.795914,0.345033,0.245353,0.000000
149.841843,0.274094,0.245353,0.000000
150.017487,0.195180,0.247817,0.000000
150.546310,0.156463,0.247817,0.000000
150.353790,0.189398,0.251886,0.000000
149.811188,0.536081,0.251886,0.000000
150.030380,0.301733,0.245186,0.000000
150.565491,0.282568,0.245186,0.000000
151.139389,0.218691,0.245199,0.000000
149.747650,0.317276,0.245199,0.000000
151.481964,0.082768,0.237397,0.000000
151.013382,0.295254,0.237397,0.000000
151.753311,0.173372,0.238146,0.000000
150.117203,0.314849,0.238146,0.000000
151.027176,0.187377,0.237501,0.000000
151.463715,0.400053,0.237501,0.000000
150.871048,0.290141,0.248026,0.000000
150.978256,0.304765,0.248026,0.000000
149.884491,0.173233,0.245371,0.000000
150.980042,0.244855,0.245371,0.000000
150.422546,0.187165,0.245164,0.000000
149.912888,0.264580,0.245164,0.000000
150.666122,0.154555,0.234926,0.000000
150.455933,0.171859,0.234926,0.000000
151.107208,0.198440,0.241437,0.000000
149.096573,0.198555,0.241437,0.000000
149.919510,0.193197,0.243908,0.000000
149.599304,0.272391,0.243908,0.000000
149.960388,0.188935,0.257601,0.000000
149.325745,0.257648,0.257601,0.000000
149.248566,0.112170,0.255595,0.000000
149.877686,0.295820,0.255595,0.000000
149.330872,0.199358,0.260844,0.000000
150.078156,0.509139,0.260844,0.000000
149.629883,-0.001122,0.245346,0.000000
150.705917,0.276955,0.245346,0.000000
150.534027,0.178890,0.242064,0.000000
149.911758,0.372592,0.242064,0.000000
150.600266,0.179902,0.235531,0.000000
150.706192,0.099569,0.235531,0.000000
151.206299,-0.013481,0.240520,0.000000
149.959564,0.241150,0.240520,0.000000
150.408707,0.166746,0.243276,0.000000
150.030457,0.216531,0.243276,0.000000
149.824036,0.249084,0.260170,0.000000
149.593903,0.264994,0.260170,0.000000
149.322922,0.248936,0.254587,0.000000
150.174271,0.655943,0.254587,0.000000
149.522247,0.343409,0.254948,0.000000
149.820984,0.322448,0.254948,0.000000
149.719208,0.200991,0.241874,0.000000
150.272354,0.298867,0.241874,0.000000
151.217590,0.070496,0.245988,0.000000
149.974258,0.119236,0.245988,0.000000
150.988953,0.177553,0.235867,0.000000
150.250732,0.262295,0.235867,0.000000
151.287750,0.258680,0.248375,0.000000
150.200958,0.259026,0.248375,0.000000
150.142914,0.221969,0.253121,0.000000
150.600647,-0.097860,0.253121,0.000000
149.964752,0.389025,0.254711,0.000000
150.473343,0.313527,0.254711,0.000000
149.971878,0.160265,0.240811,0.000000
151.237457,0.191697,0.240811,0.000000
151.052612,0.233451,0.235576,0.000000
149.995575,0.276514,0.235576,0.000000
149.781174,0.078427,0.237083,0.000000
149.680923,0.233735,0.237083,0.000000
150.150269,0.233751,0.251351,0.000000
149.438553,0.221559,0.251351,0.000000
149.324524,0.082550,0.252012,0.000000
149.599640,0.400451,0.252012,0.000000
149.745346,0.259850,0.258988,0.000000
149.142960,0.373475,0.258988,0.000000
148.873611,0.246184,0.253147,0.000000
150.541672,0.282961,0.253147,0.000000
149.983017,0.048064,0.249986,0.000000
150.314102,0.263828,0.249986,0.000000
149.440445,0.207683,0.239875,0.000000
149.929794,0.184484,0.239875,0.000000
150.247513,0.198860,0.246138,0.000000
149.496414,0.246453,0.246138,0.000000
149.781616,-0.037258,0.243218,0.000000
150.193802,0.181579,0.243218,0.000000
150.659836,0.182920,0.251967,0.000000
150.034348,0.300670,0.251967,0.000000
149.548721,0.338181,0.248639,0.000000
150.031693,0.153333,0.248639,0.000000
150.165649,0.317582,0.255844,0.000000
150.309036,0.068543,0.255844,0.000000
149.334061,0.222719,0.241377,0.000000
150.616974,0.237931,0.241377,0.000000
150.382767,0.214014,0.239709,0.000000
150.185898,0.284722,0.239709,0.000000
149.560883,0.393069,0.240971,0.000000
150.362061,0.185466,0.240971,0.000000
150.632324,0.144011,0.244281,0.000000
149.657944,0.340956,0.244281,0.000000
150.093704,0.168796,0.244302,0.000000
150.300537,0.419143,0.244302,0.000000
150.429169,0.285154,0.251962,0.000000
150.019211,0.211234,0.251962,0.000000
149.796249,0.311539,0.253444,0.000000
150.269440,0.213970,0.253444,0.000000
149.705643,0.245156,0.243586,0.000000
151.313477,0.258492,0.243586,0.000000
150.035095,0.319966,0.234054,0.000000
150.769836,0.248826,0.234054,0.000000
150.521622,0.436345,0.238065,0.000000
150.002014,0.256840,0.238065,0.000000
149.443100,0.256092,0.245302,0.000000
149.087143,0.129037,0.245302,0.000000
149.631363,0.280316,0.257640,0.000000
149.033218,0.317344,0.257640,0.000000
148.751892,0.355718,0.258973,0.000000
149.021408,0.214791,0.258973,0.000000
149.323059,0.178876,0.260932,0.000000
150.772400,0.422839,0.260932,0.000000
149.033554,0.337836,0.249448,0.000000
150.448181,0.269340,0.249448,0.000000
149.400055,0.285724,0.243553,0.000000
150.589737,0.247416,0.243553,0.000000
149.632614,0.159779,0.238931,0.000000
150.422501,0.305774,0.238931,0.000000
150.863953,0.558106,0.242172,0.000000
150.578094,0.425077,0.242172,0.000000
149.899170,0.217227,0.240973,0.000000
149.464569,0.222242,0.240973,0.000000
149.826584,0.340397,0.256383,0.000000
149.717239,0.118965,0.256383,0.000000
148.942978,0.357661,0.252967,0.000000
149.752014,0.105168,0.252967,0.000000
148.873505,0.346533,0.254456,0.000000
150.089203,0.285167,0.254456,0.000000
148.965485,0.263895,0.247485,0.000000
150.124542,0.254687,0.247485,0.000000
149.852219,0.299859,0.245904,0.000000
150.597427,0.118997,0.245904,0.000000
150.080643,0.352679,0.238034,0.000000
150.027390,0.240462,0.238034,0.000000
150.803787,0.210359,0.243562,0.000000
150.174698,0.018234,0.243562,0.000000
150.088287,0.254286,0.248325,0.000000
149.659241,0.223886,0.248325,0.000000
149.967606,0.290005,0.254537,0.000000
150.988205,0.275198,0.254537,0.000000
149.606293,0.204453,0.245153,0.000000
151.485077,0.393977,0.245153,0.000000
150.355408,0.180238,0.233639,0.000000
150.888657,0.354582,0.233639,0.000000
149.083298,0.248222,0.241519,0.000000
149.270432,0.207212,0.241519,0.000000
148.682770,0.272224,0.254246,0.000000
148.926376,0.257278,0.254246,0.000000
148.754593,0.302425,0.257950,0.000000
148.706253,0.240554,0.257950,0.000000
149.177765,0.229907,0.260649,0.000000
