omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
372.675720,0.405180,0.404599,1.000000
374.019775,0.390422,0.396087,1.000000
372.960052,0.564086,0.387127,1.000000
371.747711,0.448728,0.377805,1.000000
371.217407,0.493568,0.368212,1.000000
371.293701,0.356397,0.358441,1.000000
371.990479,0.390962,0.348588,1.000000
372.076416,0.409494,0.338746,1.000000
370.532745,0.373179,0.329014,1.000000
370.736938,0.267459,0.319484,1.000000
370.902069,0.327996,0.310251,1.000000
371.784485,0.294907,0.301403,1.000000
369.873383,0.259022,0.293028,1.000000
372.108856,0.215729,0.285206,1.000000
372.694702,0.432409,0.278015,1.000000
372.834534,0.298364,0.271523,1.000000
370.459198,0.302975,0.265796,1.000000
371.259491,0.314108,0.260888,1.000000
373.025269,0.121309,0.256848,1.000000
371.802185,0.511096,0.253716,1.000000
370.941711,0.358928,0.251522,1.000000
371.354828,0.097455,0.250288,1.000000
370.140411,0.373804,0.250026,1.000000
369.093994,0.353252,0.250739,1.000000
367.230072,0.305722,0.252421,1.000000
368.004456,0.054729,0.255055,1.000000
369.537750,0.103336,0.258616,1.000000
370.709747,0.257329,0.263069,1.000000
369.512054,0.507419,0.268372,1.000000
367.879913,0.270915,0.274472,1.000000
368.613770,0.296781,0.281310,1.000000
368.848267,0.384146,0.288820,1.000000
369.178894,0.295242,0.296929,1.000000
370.694824,0.426848,0.305557,1.000000
371.382874,0.260189,0.314620,1.000000
372.452271,0.328920,0.324030,1.000000
370.649445,0.344159,0.333695,1.000000
368.698425,0.345495,0.343521,1.000000
367.359192,0.168547,0.353410,1.000000
368.529633,0.262547,0.363268,1.000000
368.662567,0.118813,0.372996,1.000000
368.529694,0.491008,0.382500,1.000000
368.258911,0.330902,0.391687,1.000000
368.330444,0.390625,0.400467,1.000000
369.048218,0.471575,0.408753,1.000000
369.358246,0.217409,0.416465,1.000000
368.072479,0.437341,0.423526,1.000000
370.060333,0.285620,0.429867,1.000000
369.640411,0.364102,0.435426,1.000000
370.705170,0.435497,0.440149,1.000000
368.951477,0.365492,0.443987,1.000000
370.840302,0.373154,0.446904,1.000000
372.933838,0.395640,0.448871,1.000000
371.210541,0.372169,0.449869,1.000000
369.941833,0.484286,0.449886,1.000000
369.718018,0.335645,0.448923,1.000000
369.915558,0.513978,0.446988,1.000000
369.466431,0.735630,0.444101,1.000000
368.436432,0.394585,0.440290,1.000000
369.887268,0.295696,0.435591,1.000000
370.949799,0.318247,0.430051,1.000000
371.960175,0.396629,0.423724,1.000000
370.510529,0.474862,0.416672,1.000000
368.933716,0.300124,0.408964,1.000000
