omega_ref,omega_pll,Iq_ref,Iq_meas
99.999237,100.333046,0.245107,0.309505
99.999237,99.370438,0.155431,0.046143
99.999237,99.775330,0.155431,0.213979
99.999237,100.336800,0.224711,0.207744
99.999237,99.982002,0.224711,0.358770
99.999237,98.563553,0.225046,0.194901
99.999237,100.277351,0.225046,0.308985
99.999237,99.772789,0.156978,0.130143
99.999237,99.876892,0.156978,0.103705
99.999237,100.216949,0.204396,0.197498
99.999237,100.469917,0.204396,0.144673
99.999237,99.071678,0.158856,0.245788
99.999237,100.226189,0.158856,0.192251
99.999237,99.961823,0.153353,0.062122
99.999237,100.049248,0.153353,0.196298
99.999237,99.316475,0.184672,0.165985
99.999237,99.891197,0.184672,0.191587
99.999237,99.860359,0.202172,0.256936
99.999237,99.325783,0.202172,-0.050622
99.999237,99.158173,0.284156,0.174195
99.999237,99.848297,0.284156,0.303262
99.999237,100.201614,0.203175,0.499455
99.999237,100.062927,0.203175,0.128593
99.999237,99.966118,0.204126,0.246339
99.999237,101.754745,0.204126,0.187468
99.999237,100.851578,-0.017448,0.024320
99.999237,99.913788,-0.017448,0.139672
99.999237,100.477798,0.162230,0.093848
99.999237,100.056572,0.162230,0.083635
99.999237,98.231194,0.200603,0.310596
99.999237,99.501060,0.200603,0.279055
99.999237,99.163239,0.222824,0.136821
99.999237,98.771660,0.222824,0.281960
99.999237,98.790840,0.318830,0.274583
99.999237,99.543770,0.318830,0.064284
99.999237,98.942520,0.245060,0.285371
99.999237,98.879707,0.245060,0.227560
99.999237,98.872627,0.320173,0.412929
99.999237,99.534248,0.320173,0.499220
99.999237,98.913231,0.239845,0.432808
99.999237,99.660583,0.239845,0.158057
99.999237,100.020172,0.233509,0.227408
99.999237,100.754532,0.233509,0.238498
99.999237,100.053780,0.133729,0.094200
99.999237,100.456795,0.133729,0.142757
99.999237,100.877808,0.137154,0.112447
99.999237,100.201118,0.137154,0.097677
99.999237,99.128990,0.195036,0.210321
99.999237,100.969360,0.195036,0.226680
99.999237,99.948227,0.081382,0.060940
99.999237,99.311707,0.081382,0.274791
99.999237,100.519234,0.243590,0.141931
99.999237,100.586525,0.243590,0.176484
99.999237,99.629700,0.116467,0.182495
99.999237,100.453384,0.116467,0.129538
99.999237,100.077705,0.137222,0.098312
99.999237,99.946075,0.137222,0.064136
99.999237,98.968933,0.197800,0.007702
99.999237,99.563553,0.197800,0.040797
99.999237,99.275719,0.233787,0.157776
99.999237,99.210884,0.233787,0.198311
99.999237,99.202316,0.276523,0.160837
99.999237,99.698135,0.276523,0.368068
99.999237,99.510368,0.225755,0.130140
99.999237,99.366249,0.225755,0.189622
99.999237,99.137932,0.249504,0.285476
99.999237,100.448257,0.249504,0.234185
99.999237,99.441231,0.141686,0.136422
99.999237,99.291222,0.141686,0.260536
99.999237,100.207031,0.255870,-0.016992
99.999237,100.081482,0.255870,0.128970
99.999237,98.916855,0.208429,0.585290
99.999237,100.734940,0.208429,0.129539
99.999237,100.456612,0.094379,0.065940
99.999237,99.966293,0.094379,0.428756
99.999237,99.957909,0.194877,0.283799
99.999237,100.787216,0.194877,0.104224
99.999237,99.850784,0.108490,0.190291
99.999237,99.738762,0.108490,0.142050
99.999237,99.364502,0.215884,0.079475
99.999237,99.693390,0.215884,0.250161
99.999237,99.004166,0.215315,0.244238
99.999237,99.750847,0.215315,0.144085
99.999237,99.644905,0.212390,0.239556
99.999237,100.944450,0.212390,0.221251
99.999237,99.548409,0.096238,0.059496
99.999237,99.975662,0.096238,0.026013
99.999237,100.830078,0.159933,0.178451
99.999237,100.126091,0.159933,0.328926
99.999237,98.613243,0.198939,0.228957
99.999237,100.277550,0.198939,0.226030
99.999237,99.126518,0.138044,0.199291
99.999237,98.425316,0.138044,0.285696
99.999237,98.712013,0.344272,0.261831
99.999237,99.180481,0.344272,0.043877
99.999237,98.335709,0.308646,0.367515
99.999237,98.883217,0.308646,0.457408
99.999237,98.965912,0.305748,0.253451
99.999237,99.181984,0.305748,0.427981
99.999237,98.644180,0.286115,0.268162
99.999237,99.515274,0.286115,0.220265
99.999237,98.977852,0.260993,0.327591
99.999237,99.498825,0.260993,0.304741
99.999237,99.200523,0.261913,0.153821
99.999237,100.086296,0.261913,0.299913
99.999237,99.979294,0.200816,0.119385
99.999237,100.177856,0.200816,0.366139
99.999237,100.237473,0.171080,0.121059
99.999237,101.349846,0.171080,0.476464
99.999237,100.225342,0.053730,0.152118
99.999237,99.491432,0.053730,0.231826
99.999237,100.453011,0.232658,0.209592
99.999237,100.297951,0.232658,0.191937
99.999237,99.080864,0.183468,0.245938
99.999237,101.287666,0.183468,0.216688
99.999237,100.519791,0.048201,0.053351
99.999237,100.403954,0.048201,0.107192
99.999237,99.982132,0.136729,0.089606
99.999237,100.566505,0.136729,0.037713
99.999237,99.439949,0.142788,0.171977
99.999237,99.714722,0.142788,0.084737
99.999237,99.270653,0.227009,0.120645
99.999237,99.439507,0.227009,0.213823
