raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
236648.000000,94.153694,0.305879,0.439975
218654.000000,101.127823,0.305879,0.181331
201091.000000,104.415855,0.203586,0.281392
183841.000000,105.424858,0.203586,0.583841
165008.000000,110.731903,0.161670,0.144405
145468.000000,115.894981,0.161670,0.223440
127656.000000,113.491402,0.065784,0.137560
110030.000000,110.989456,0.065784,0.067485
90715.000000,114.036026,0.110081,0.030992
73253.000000,109.965385,0.110081,0.056218
56985.000000,103.614220,0.140693,-0.143634
39307.000000,103.618073,0.140693,0.233135
22387.000000,101.450943,0.188790,0.206147
6804.000000,96.129578,0.188790,-0.078791
2088033.000000,94.078766,0.272610,0.192391
2071146.000000,96.045570,0.272610,0.372261
2054693.000000,96.286179,0.259316,0.276594
2039154.000000,93.969383,0.259316,0.178025
2021980.000000,97.850647,0.285071,0.260541
2004084.000000,102.633240,0.285071,0.269430
1987660.000000,101.280548,0.194636,-0.004915
1970412.000000,102.948395,0.194636,0.293372
1952464.000000,105.931091,0.187848,0.175626
1935769.000000,103.723396,0.187848,0.266788
1920194.000000,98.727699,0.197088,0.137765
1903674.000000,98.337059,0.197088,0.111222
1887186.000000,97.908195,0.239433,0.223024
1872309.000000,92.740219,0.239433,0.234084
1857441.000000,89.669876,0.310620,0.233528
1841083.000000,92.404892,0.310620,0.473209
1826402.000000,89.261200,0.301346,0.320521
1812118.000000,86.398140,0.301346,0.225254
1795971.000000,90.470116,0.356386,0.360260
1779709.000000,93.778358,0.356386,0.424663
1764224.000000,93.651276,0.282589,0.320761
1747734.000000,96.679131,0.282589,0.258579
1729932.000000,102.747086,0.250182,0.313637
1712694.000000,104.562691,0.250182,0.361409
1696663.000000,101.830025,0.183084,0.217741
1678625.000000,105.928947,0.183084,0.257101
1660695.000000,107.823288,0.156017,0.062203
1644433.000000,103.769531,0.156017,0.224821
1627001.000000,104.510010,0.190857,0.164839
1608946.000000,106.667580,0.190857,0.126156
1591613.000000,105.880661,0.157950,0.228097
1575098.000000,102.684212,0.157950,0.182260
1557709.000000,103.224724,0.199449,0.155466
1540135.000000,104.064034,0.199449,-0.067938
1524025.000000,100.152092,0.188934,0.161760
1507192.000000,100.017815,0.188934,0.143814
1488817.000000,104.638443,0.214391,0.327604
1471927.000000,103.250488,0.214391,0.218717
1455309.000000,101.527634,0.197827,0.180934
1437544.000000,103.844528,0.197827,0.091119
1420640.000000,102.627312,0.183550,0.227639
1404903.000000,98.273140,0.183550,0.176549
1388554.000000,97.388672,0.247271,0.294183
1371729.000000,98.327599,0.247271,0.255073
1356257.000000,94.826347,0.242136,0.095715
1341716.000000,89.969521,0.242136,0.282265
1324923.000000,93.995117,0.324093,0.382904
1308409.000000,95.896423,0.324093,0.249334
1293319.000000,93.112480,0.271424,0.473621
1276170.000000,97.813919,0.271424,0.440114
1257907.000000,104.214462,0.229410,0.121390
1240666.000000,105.233696,0.229410,0.206954
1223096.000000,106.720161,0.170930,0.447335
1204080.000000,111.935875,0.170930,0.129002
1185295.000000,114.078217,0.094660,0.242402
1168006.000000,110.478706,0.094660,0.141393
1149919.000000,110.321182,0.124308,0.095034
1131077.000000,112.041199,0.124308,0.022880
1114629.000000,105.633400,0.110587,0.088563
1098305.000000,101.063225,0.110587,0.108352
1080892.000000,101.392815,0.214693,0.212649
1064401.000000,99.020241,0.214693,0.159757
1049046.000000,94.191750,0.243843,0.176873
1032948.000000,93.694069,0.243843,0.238610
1016031.000000,96.182442,0.281658,0.192818
1000178.000000,94.817711,0.281658,0.243423
984713.000000,93.071823,0.282435,0.414534
967206.000000,98.458458,0.282435,0.169535
949989.000000,101.084244,0.227859,0.422415
933760.000000,100.011253,0.227859,0.241876
