lut_index,lut_raw21,ideal_raw21,corr_error_counts,corr_error_deg
0,0,0,0,0
1,1063,1024,39,0.00669479370117188
2,2144,2048,96,0.0164794921875
3,3241,3072,169,0.0290107727050781
4,4355,4096,259,0.0444602966308594
5,5474,5120,354,0.0607681274414062
6,6615,6144,471,0.0808525085449219
7,7732,7168,564,0.0968170166015625
8,8862,8192,670,0.115013122558594
9,10008,9216,792,0.135955810546875
10,11155,10240,915,0.157070159912109
11,12278,11264,1014,0.174064636230469
12,13373,12288,1085,0.186252593994141
13,14466,13312,1154,0.198097229003906
14,15559,14336,1223,0.209941864013672
15,16658,15360,1298,0.222816467285156
16,17761,16384,1377,0.236377716064453
17,18828,17408,1420,0.243759155273438
18,19876,18432,1444,0.247879028320312
19,20902,19456,1446,0.248222351074219
20,21969,20480,1489,0.255603790283203
21,23043,21504,1539,0.264186859130859
22,24103,22528,1575,0.270366668701172
23,25145,23552,1593,0.273456573486328
24,26161,24576,1585,0.272083282470703
25,27177,25600,1577,0.270709991455078
26,28179,26624,1555,0.266933441162109
27,29176,27648,1528,0.262298583984375
28,30206,28672,1534,0.263328552246094
29,31224,29696,1528,0.262298583984375
30,32238,30720,1518,0.260581970214844
31,33235,31744,1491,0.255947113037109
32,34260,32768,1492,0.256118774414062
33,35281,33792,1489,0.255603790283203
34,36283,34816,1467,0.251827239990234
35,37311,35840,1471,0.252513885498047
36,38336,36864,1472,0.252685546875
37,39359,37888,1471,0.252513885498047
38,40361,38912,1449,0.248737335205078
39,41358,39936,1422,0.244102478027344
40,42372,40960,1412,0.242385864257812
41,43350,41984,1366,0.234489440917969
42,44320,43008,1312,0.2252197265625
43,45308,44032,1276,0.219039916992188
44,46261,45056,1205,0.206851959228516
45,47193,46080,1113,0.191059112548828
46,48139,47104,1035,0.177669525146484
47,49071,48128,943,0.161876678466797
48,49982,49152,830,0.142478942871094
49,50905,50176,729,0.125141143798828
50,51835,51200,635,0.109004974365234
51,52767,52224,543,0.0932121276855469
52,53687,53248,439,0.0753593444824219
53,54628,54272,356,0.0611114501953125
54,55609,55296,313,0.0537300109863281
55,56581,56320,261,0.0448036193847656
56,57560,57344,216,0.037078857421875
57,58571,58368,203,0.0348472595214844
58,59580,59392,188,0.0322723388671875
59,60612,60416,196,0.0336456298828125
60,61633,61440,193,0.0331306457519531
61,62663,62464,199,0.0341606140136719
62,63735,63488,247,0.0424003601074219
63,64800,64512,288,0.0494384765625
64,65865,65536,329,0.0564765930175781
65,66962,66560,402,0.0690078735351562
66,68043,67584,459,0.0787925720214844
67,69113,68608,505,0.0866889953613281
68,70182,69632,550,0.0944137573242188
69,71294,70656,638,0.109519958496094
70,72398,71680,718,0.123252868652344
71,73463,72704,759,0.130290985107422
72,74540,73728,812,0.139389038085938
73,75614,74752,862,0.147972106933594
74,76660,75776,884,0.151748657226562
75,77706,76800,906,0.155525207519531
76,78757,77824,933,0.160160064697266
77,79769,78848,921,0.158100128173828
78,80736,79872,864,0.1483154296875
79,81721,80896,825,0.141620635986328
80,82705,81920,785,0.134754180908203
81,83646,82944,702,0.120506286621094
82,84583,83968,615,0.105571746826172
83,85513,84992,521,0.0894355773925781
84,86433,86016,417,0.0715827941894531
85,87344,87040,304,0.05218505859375
86,88239,88064,175,0.0300407409667969
87,89145,89088,57,0.00978469848632812
88,90056,90112,-56,-0.009613037109375
89,90965,91136,-171,-0.0293540954589844
90,91881,92160,-279,-0.0478935241699219
91,92748,93184,-436,-0.0748443603515625
92,93605,94208,-603,-0.103511810302734
93,94449,95232,-783,-0.134410858154297
94,95304,96256,-952,-0.163421630859375
95,96161,97280,-1119,-0.192089080810547
