dbg_id_a,dbg_iq_a,omega_diff,omega_pll
-0.015150,0.341922,302.960876,298.717407
0.033690,0.468606,301.222809,299.269409
0.158363,0.474357,303.081268,299.214569
0.257187,0.493933,301.403412,299.526276
0.189568,0.367113,301.583405,299.100342
0.063798,0.392085,295.710876,299.572571
0.081603,0.392897,299.965179,299.470459
-0.023413,0.357161,301.523224,299.996460
-0.007506,0.684709,303.926483,300.322571
0.031802,0.156467,302.362457,301.379669
0.093693,0.204660,303.020477,300.928009
-0.142837,0.448656,294.036865,301.136719
-0.170420,-0.017965,301.408783,300.932648
0.016727,0.217899,290.861145,301.375244
0.090368,0.248716,305.538177,301.777191
0.063618,0.139678,298.280731,301.411194
0.134573,0.109093,301.342010,299.918945
0.098750,0.015877,296.554565,299.390747
-0.135289,0.076807,302.181244,298.825073
0.014950,0.342402,291.814819,298.717102
0.155549,0.406881,298.891083,298.120544
0.244342,0.563215,297.031403,298.836578
-0.104777,0.418593,303.916931,299.001190
0.069150,0.342814,304.040924,300.073090
0.068559,0.342933,302.538879,299.695557
0.132151,0.358774,293.612488,299.868866
0.068011,0.560537,305.714630,299.752930
0.098060,0.233670,291.934021,300.057587
-0.107402,0.311275,309.972778,300.523804
0.054498,0.279912,301.160828,300.393036
0.099911,0.326363,306.377411,300.349121
0.144816,0.248273,294.451721,300.182587
0.074528,0.341685,301.342010,300.242676
0.101195,0.263565,293.130890,299.969238
0.175033,0.261596,301.165588,300.686340
0.041088,0.248115,296.728607,300.837067
0.137654,0.463342,305.898193,301.006866
-0.012590,0.249244,290.195953,299.949615
0.097474,0.433951,301.880829,299.241241
0.065962,0.232503,292.234436,298.647980
-0.138737,0.406219,298.945923,298.657623
-0.014015,0.342442,290.617950,298.689636
-0.022019,0.389239,300.384766,299.089020
0.077755,0.434586,293.793671,299.410461
0.140784,0.386778,302.481659,299.762299
-0.015181,0.155868,298.227081,299.949341
0.050288,0.325916,299.845337,299.590576
-0.078387,0.561772,297.688263,299.939728
-0.149017,0.174339,300.264771,299.855042
0.293550,0.273598,292.654053,299.804565
0.029278,0.434986,304.040924,300.225128
0.066388,0.371353,294.809357,300.908630
-0.080864,0.221281,307.874695,301.324280
-0.126259,0.349072,296.010986,301.747986
-0.083723,0.269625,302.715302,301.565735
0.081641,0.150667,290.613190,301.595245
-0.124789,0.368475,304.756165,302.413269
0.035378,0.106460,290.613190,301.537231
-0.054148,0.113492,303.020477,300.806274
-0.009331,0.125400,291.633606,299.050262
-0.065634,0.347706,300.264374,299.121948
-0.027846,0.376212,291.156769,298.962830
0.009719,0.404768,299.901978,298.886414
0.015603,0.357587,291.156769,298.983734
-0.106672,0.397541,302.243256,299.498383
-0.040671,0.439610,293.374054,299.448853
-0.057341,0.331632,300.502777,299.446259
0.158246,0.315980,293.793671,299.591827
0.093511,0.164546,302.305237,299.780945
0.039126,0.277863,291.094788,299.597809
-0.143633,0.339450,302.662872,300.192841
0.037838,0.246677,291.757599,299.843262
-0.012368,0.391318,296.964661,300.124115
0.072746,0.321649,295.534149,300.153351
-0.043007,0.316423,299.181946,300.506439
-0.146418,0.170009,289.840698,300.119385
-0.046091,0.333382,297.508240,301.133881
-0.124982,0.327610,296.130188,301.692841
-0.130824,0.188375,302.362457,301.751099
0.260501,0.064041,289.180298,299.970276
-0.036376,0.317254,298.287872,299.440826
-0.008041,0.251365,290.617950,299.056610
0.206670,0.305195,299.546722,299.280975
-0.061191,0.100657,290.915985,298.632416
-0.005606,0.517191,297.387848,298.923676
-0.161917,0.487928,295.650970,299.264435
-0.032427,0.426520,296.069397,299.550598
-0.003579,0.360604,291.876190,299.489502
-0.148293,0.425047,300.144562,299.848541
-0.323951,0.682105,290.377747,299.816650
-0.146072,0.347813,300.564362,300.136261
-0.050178,0.319937,288.763062,299.706421
-0.065240,0.448669,303.258911,300.947906
-0.096377,0.280728,293.912903,300.870636
-0.022073,0.270945,302.600861,301.793274
-0.176831,0.201725,295.410156,301.688141
-0.140116,0.245101,300.436035,302.079865
-0.132134,0.181334,292.053223,301.446930
-0.093904,0.176626,295.534149,302.509155
-0.194035,-0.010308,290.136353,301.070923
-0.040985,0.166391,295.114532,300.522583
-0.035522,0.054160,290.737152,299.242279
-0.070901,0.393741,297.565460,299.447113
0.146038,0.241619,291.690826,298.752625
-0.048548,0.468335,302.362457,298.833893
-0.126240,0.498352,290.250793,298.501251
-0.034046,0.529677,295.710571,299.635040
-0.245190,0.381368,291.275970,299.721069
-0.129676,0.439615,295.948975,300.435852
-0.224694,0.379606,291.213989,299.805634
-0.037996,0.421874,297.570221,300.557373
-0.117764,0.311155,292.596832,299.567444
-0.033671,0.422241,291.819580,300.920929
-0.239739,0.358780,293.850891,300.885223
-0.097416,0.392580,297.451019,301.956207
