dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.336102,0.316765,91.261864,91.007614
-0.334577,0.610271,103.001595,95.428230
0.005730,0.329233,100.908279,101.047676
-0.022648,0.171750,93.595985,100.755386
-0.012357,0.388836,107.438568,101.270615
0.037410,0.221956,106.539726,107.231735
-0.115501,0.163323,95.872879,105.470634
-0.084919,0.188965,102.524757,102.694748
-0.039430,0.214953,109.593872,105.660767
0.005811,0.140182,101.625923,106.268402
-0.030787,0.204869,97.432137,102.811386
0.124412,0.207197,103.483200,101.880836
-0.125514,0.220144,105.819702,103.875809
-0.042051,0.267969,94.616417,102.532188
0.062810,0.206213,98.929405,99.141861
-0.132919,0.082811,110.733513,102.905403
0.030574,0.215644,100.247864,104.691666
-0.041263,0.118784,96.533302,100.506744
-0.440134,0.298274,108.397011,102.120743
-0.200976,0.404021,109.055046,107.130997
0.061085,0.149691,92.039108,103.377945
-0.041336,0.118759,94.914436,97.914604
0.033473,0.233204,101.146698,97.297394
0.181578,0.268155,93.476776,96.560974
-0.106787,0.218290,86.226463,90.588165
-0.054765,0.338325,98.869804,89.690102
-0.065210,0.384369,99.588638,94.378159
0.001008,0.218537,88.202957,93.113823
-0.001848,0.306961,100.308662,93.332115
0.043760,0.397674,109.057426,100.026962
-0.057211,0.210152,102.465157,104.315872
-0.008090,0.476228,102.645164,105.088448
0.088344,0.254564,116.127731,108.915878
-0.095333,0.149042,116.426949,115.010109
-0.181731,0.068774,105.221870,114.390091
-0.002494,0.031014,110.074883,110.618484
-0.133978,0.109823,113.790039,113.110489
-0.079230,0.087171,101.086800,111.614471
-0.064475,0.201738,98.989609,104.361778
-0.015962,0.188587,106.360023,103.305901
0.058422,0.134936,100.907089,102.292152
0.000264,0.093343,91.619423,97.277557
-0.238371,0.163580,95.453262,93.569008
-0.027678,0.322663,105.524063,95.248451
0.121736,0.250900,95.338821,96.540390
-0.214880,0.330220,91.562271,94.094505
0.088355,0.305285,106.000900,96.133316
0.188432,0.017690,107.088089,101.903053
-0.083509,0.276777,93.297958,101.532585
-0.008046,0.329184,103.969574,101.532158
-0.118179,-0.075620,108.757019,105.075607
0.024842,0.257885,96.178055,104.543419
-0.041884,0.117198,92.401505,99.391869
-0.000725,0.124455,106.124878,97.509178
-0.146296,0.283850,98.390579,98.073189
-0.032574,0.322206,87.003708,94.224442
0.006488,0.375040,89.282990,89.388985
-0.138238,0.390598,98.209381,91.413223
-0.023726,0.127348,87.490082,90.859489
0.110521,0.256039,85.449219,86.505920
-0.173167,0.231500,97.970963,88.647911
-0.166292,0.372639,94.623566,92.499847
-0.044600,0.277037,89.817047,93.256569
-0.126134,0.248718,100.784302,94.754707
0.074830,0.345844,106.773376,99.545059
0.137625,0.219501,101.985931,104.057281
-0.091951,0.059033,92.277527,101.539291
-0.057636,0.312543,108.451843,103.199814
0.075351,0.249824,107.622147,107.998077
-0.072609,0.155221,95.567703,105.085213
0.125476,0.196957,106.544495,103.559372
-0.181555,0.131829,108.880997,106.428291
-0.198351,0.220803,99.229813,105.526184
-0.051760,0.182930,102.043152,103.873230
0.075996,0.211869,105.218887,102.781639
-0.082180,0.247661,104.675293,104.461220
0.048261,0.194128,96.645355,101.900490
